Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Valentin Rosier,fr FRA,"DF,MF",Nice,26,1996,3,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,3,5,2,0.00,0.00,0.00,0.00,0.00,0.07,0.23,0.31,0.07,0.31,Matches
Fabián Ruiz Peña,es ESP,MF,Paris S-G,27,1996,21,14,"1,197",13.3,1,3,4,1,0,0,3,0,2.0,2.0,1.2,3.1,16,78,40,0.08,0.23,0.30,0.08,0.30,0.15,0.09,0.24,0.15,0.24,Matches
Emmanuel Sabbi,us USA,"FW,MF",Le Havre,25,1997,30,18,"1,584",17.6,5,1,6,3,2,2,5,0,4.1,2.5,1.4,4.0,38,36,101,0.28,0.06,0.34,0.17,0.23,0.23,0.08,0.32,0.14,0.23,Matches
Falaye Sacko,ml MLI,DF,Montpellier,28,1995,19,15,"1,382",15.4,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.5,38,63,42,0.00,0.07,0.07,0.00,0.07,0.00,0.03,0.03,0.00,0.03,Matches
Modibo Sagnan,ml MLI,DF,Montpellier,24,1999,13,12,"1,054",11.7,2,0,2,2,0,0,5,0,1.2,1.2,0.3,1.5,7,25,5,0.17,0.00,0.17,0.17,0.17,0.10,0.03,0.13,0.10,0.13,Matches
Wesley Saïd,fr FRA,"FW,MF",Lens,28,1995,27,11,"1,020",11.3,7,1,8,7,0,0,1,0,5.7,5.7,0.9,6.6,18,26,95,0.62,0.09,0.71,0.62,0.71,0.50,0.08,0.58,0.50,0.58,Matches
Théo Sainte-Luce,fr FRA,DF,Montpellier,24,1998,6,3,346,3.8,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,15,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Mamadou Sakho,fr FRA,DF,Montpellier,33,1990,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ibrahim Salah,ma MAR,"FW,MF",Rennes,21,2001,23,4,524,5.8,4,1,5,4,0,0,3,0,3.1,3.1,0.5,3.6,15,18,61,0.69,0.17,0.86,0.69,0.86,0.54,0.08,0.62,0.54,0.62,Matches
Amine Salama,fr FRA,FW,Reims,23,2000,11,2,313,3.5,0,0,0,0,0,0,0,0,0.7,0.7,0.2,1.0,10,7,33,0.00,0.00,0.00,0.00,0.00,0.21,0.07,0.27,0.21,0.27,Matches
Mohammed Salisu,gh GHA,DF,Monaco,24,1999,12,11,"1,035",11.5,0,1,1,0,0,0,2,0,0.2,0.2,0.2,0.5,7,72,6,0.00,0.09,0.09,0.00,0.09,0.02,0.02,0.04,0.02,0.04,Matches
Yoann Salmier,gf GUF,DF,Le Havre,30,1992,20,18,"1,568",17.4,1,1,2,1,0,0,3,0,1.1,1.1,0.7,1.8,8,48,8,0.06,0.06,0.11,0.06,0.11,0.06,0.04,0.10,0.06,0.10,Matches
Mama Samba Baldé,gw GNB,"FW,MF",Lyon,27,1995,20,4,551,6.1,2,3,5,2,0,0,1,0,3.4,3.4,2.3,5.7,23,11,73,0.33,0.49,0.82,0.33,0.82,0.55,0.38,0.94,0.55,0.94,Matches
Brice Samba,fr FRA,GK,Lens,29,1994,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Ibou Sané,sn SEN,"MF,FW",Metz,18,2005,9,0,128,1.4,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,6,7,8,0.70,0.00,0.70,0.70,0.70,0.49,0.03,0.51,0.49,0.51,Matches
Sadibou Sané,sn SEN,DF,Metz,19,2004,14,9,846,9.4,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,8,19,8,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
