name,Squad,position,TIS
David Odogu,Wolfsburg,Centre-Back,32.23487124054615
Mohammed Tolba,Bochum,Centre-Back,32.23487124054615
Nidal Celik,Lens,Centre-Back,32.23487124054615
Naoufel El Hannach,Paris S-G,Centre-Back,32.23487124054615
Matteo Palma,Udinese,Centre-Back,32.23487124054615
Bastien Meupiyou,Wolves,Centre-Back,32.23487124054615
Yoni Gomis,Strasbourg,Centre-Back,32.23487124054615
Tiago Gabriel,Lecce,Centre-Back,32.23487124054615
Tobias Slotsager,Hellas Verona,Centre-Back,32.23487124054615
Sebastian Otoa,Genoa,Centre-Back,32.23487124054615
Mathys Angély,Wolfsburg,Centre-Back,32.23487124054615
Matai Akinmboni,Bournemouth,Centre-Back,32.23487124054615
Presnel Kimpembe,Paris S-G,Centre-Back,32.23487124054615
Sebastian Esposito,Lecce,Centre-Back,32.23487124054615
Thomas Kristensen,Udinese,Centre-Back,32.17976430092471
Luca Caldirola,Monza,Centre-Back,32.063596720739575
Jorge Cuenca,Fulham,Centre-Back,32.061143984220905
Yordan Osorio,Parma,Centre-Back,32.05555555555556
Chrislain Matsima,Augsburg,Centre-Back,31.75711473413943
Jakub Kiwior,Arsenal,Centre-Back,31.752293577981654
Alan Matturro,Genoa,Centre-Back,31.692742285962623
César Tárrega,Valencia,Centre-Back,31.675422727163085
Gabriel Osho,Auxerre,Centre-Back,31.66028111259325
Fabio Chiarodia,Gladbach,Centre-Back,31.52094717668488
Axel Witsel,Atlético Madrid,Centre-Back,31.51143906465851
Julien Le Cardinal,Brest,Centre-Back,31.50003618206817
Aitor Paredes,Athletic Club,Centre-Back,31.419036943627113
Santiago Mouriño,Alavés,Centre-Back,31.405723781084703
Marin Šverko,Venezia,Centre-Back,31.34113319704098
Maxence Lacroix,Crystal Palace,Centre-Back,31.339268650181793
Nikola Milenković,Nott'ham Forest,Centre-Back,31.240934191551474
Eric Bailly,Villarreal,Centre-Back,31.207102858827
Willy Boly,Nott'ham Forest,Centre-Back,31.149891567802012
Wout Faes,Leicester City,Centre-Back,31.095330050941023
Craig Dawson,Wolves,Centre-Back,31.025685037013563
Thomas Keller,Heidenheim,Centre-Back,31.016105107014198
Alessio Romagnoli,Lazio,Centre-Back,30.928628120254533
Raúl Asencio,Real Madrid,Centre-Back,30.90399250673223
Jubal,Auxerre,Centre-Back,30.895196022336656
Bafodé Diakité,Lille,Centre-Back,30.8014165875277
Arouna Sangante,Le Havre,Centre-Back,30.777713027713023
Danilo D'Ambrosio,Monza,Centre-Back,30.75426328057907
Moritz Jenz,Mainz 05,Centre-Back,30.751542177629133
Juanpe,Girona,Centre-Back,30.720788302606486
Robin Koch,Eint Frankfurt,Centre-Back,30.65944790944791
Cenk Özkacar,Valladolid,Centre-Back,30.647158608990672
Tim Siersleben,Heidenheim,Centre-Back,30.63817663817664
Jay Idzes,Venezia,Centre-Back,30.621264603137718
David Nemeth,St. Pauli,Centre-Back,30.562704899554937
Enzo Boyomo,Osasuna,Centre-Back,30.517470575872213
Gautier Lloris,Le Havre,Centre-Back,30.346892158842135
Jack Stephens,Southampton,Centre-Back,30.16003022852338
James Tarkowski,Everton,Centre-Back,30.144543495797976
Jon Pacheco,Real Sociedad,Centre-Back,30.1203647086
Oumar Solet,Udinese,Centre-Back,30.117997431468936
David Alaba,Real Madrid,Centre-Back,30.014907573047108
Eric Smith,St. Pauli,Centre-Back,29.983304306556658
Jorge Herrando,Osasuna,Centre-Back,29.974126718691938
Abdoul Koné,Reims,Centre-Back,29.97222222222222
Leopold Querfeld,Union Berlin,Centre-Back,29.963531547309564
Yerson Mosquera,Wolves,Centre-Back,29.911719673624432
Igor,Brighton,Centre-Back,29.90692941855733
Chris Richards,Crystal Palace,Centre-Back,29.819516308305545
Jeffrey Gouweleeuw,Augsburg,Centre-Back,29.770576502535267
Keven Schlotterbeck,Augsburg,Centre-Back,29.744177940439624
Victor Nelsson,Roma,Centre-Back,29.735449735449734
Jarrad Branthwaite,Everton,Centre-Back,29.575614658268908
Johan Vásquez,Genoa,Centre-Back,29.45292069344357
Ayden Heaven,Arsenal,Centre-Back,29.419753086419753
Murillo,Nott'ham Forest,Centre-Back,29.40908960758207
Luca Ranieri,Fiorentina,Centre-Back,29.403171438592604
Dante,Nice,Centre-Back,29.39763677690271
Alessandro Marcandalli,Genoa,Centre-Back,29.32367149758454
Christian Mawissa,Monaco,Centre-Back,29.29335113616695
Issa Diop,Fulham,Centre-Back,29.231791082147375
Conor Coady,Leicester City,Centre-Back,29.21014721014721
Yunis Abdelhamid,Saint-Étienne,Centre-Back,29.049110270421743
Sergi Gómez,Espanyol,Centre-Back,28.969561113732894
Diego Llorente,Betis,Centre-Back,28.914077338556503
Jacob Greaves,Ipswich Town,Centre-Back,28.852273926347998
Natan,Betis,Centre-Back,28.841177271048384
Morato,Nott'ham Forest,Centre-Back,28.809889100798195
Konstantinos Mavropanos,West Ham,Centre-Back,28.742284856788675
Marc Guéhi,Crystal Palace,Centre-Back,28.738187190039042
Arvid Brorsson,Monza,Centre-Back,28.71754932502596
Juma Bah,Valladolid,Centre-Back,28.67465970243748
Cédric Kipré,Reims,Centre-Back,28.536037255034614
Calvin Bassey,Fulham,Centre-Back,28.52215904552353
Leandro Cabrera,Espanyol,Centre-Back,28.39032243476688
Brendan Chardonnet,Brest,Centre-Back,28.36030466651016
Andrew Omobamidele,Nott'ham Forest,Centre-Back,28.30106039649608
Adam Masina,Torino,Centre-Back,28.285441830896378
Alberto Dossena,Como,Centre-Back,28.275877392027834
Kevin Vogt,Union Berlin,Centre-Back,28.139353400222962
Mattia Bani,Genoa,Centre-Back,28.110322452407974
Giovanni Leoni,Parma,Centre-Back,28.109800476847784
Levi Colwill,Chelsea,Centre-Back,28.103313199080617
Moussa Diarra,Alavés,Centre-Back,28.07349021770274
Willian Pacho,Paris S-G,Centre-Back,27.917182089313236
