,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
320,127202,Matz Sels,Goalkeeper,1992-02-26,32,['Belgium'],188.0,right,2024-02-01,RC Strasbourg Alsace,2027-06-30,7000000.0,
321,641458,Carlos Miguel,Goalkeeper,1998-10-09,26,['Brazil'],204.0,left,2024-07-09,Sport Club Corinthians Paulista,2028-06-30,4000000.0,Hamstring injury - Return unknown
322,45494,Wayne Hennessey,Goalkeeper,1987-01-24,38,['Wales'],198.0,right,2025-01-13,Without Club,2025-06-30,175000.0,
323,1005649,Murillo,Centre-Back,2002-07-04,22,['Brazil'],184.0,left,2023-08-31,Sport Club Corinthians Paulista,2029-06-30,50000000.0,
324,413507,Nikola Milenković,Centre-Back,1997-10-12,27,['Serbia'],195.0,right,2024-07-18,ACF Fiorentina,2029-06-30,25000000.0,
325,673492,Morato,Centre-Back,2001-06-30,23,['Brazil'],192.0,left,2024-08-30,SL Benfica,2029-06-30,15000000.0,
326,142310,Willy Boly,Centre-Back,1991-02-03,34,"[""Cote d'Ivoire"", 'France']",195.0,right,2022-09-01,Wolverhampton Wanderers,2025-06-30,2000000.0,
327,193098,Álex Moreno,Left-Back,1993-06-08,31,['Spain'],179.0,left,2024-08-21,Aston Villa,2025-05-31,11000000.0,
328,198516,Harry Toffolo,Left-Back,1995-08-19,29,"['England', 'Italy']",183.0,left,2022-07-20,Huddersfield Town,2025-06-30,5000000.0,
329,503680,Neco Williams,Right-Back,2001-04-13,23,['Wales'],183.0,right,2022-07-10,: Ablöse €20.00m,2026-06-30,17000000.0,
330,236490,Ola Aina,Right-Back,1996-10-08,28,"['Nigeria', 'England']",184.0,right,2023-07-22,Torino FC,2025-06-30,14000000.0,
331,375885,Ibrahim Sangaré,Defensive Midfield,1997-12-02,27,"[""Cote d'Ivoire""]",191.0,right,2023-09-01,PSV Eindhoven,2028-06-30,28000000.0,
332,808509,Danilo,Defensive Midfield,2001-04-29,23,['Brazil'],177.0,left,2023-01-16,Sociedade Esportiva Palmeiras,2029-06-30,28000000.0,
333,567576,Elliot Anderson,Central Midfield,2002-11-06,22,"['England', 'Scotland']",179.0,right,2024-07-01,Newcastle United,2029-06-30,24000000.0,
334,497291,Nicolás Domínguez,Central Midfield,1998-06-28,26,"['Argentina', 'Italy']",179.0,right,2023-09-01,Bologna FC 1909,2028-06-30,17000000.0,
335,425902,Ryan Yates,Central Midfield,1997-11-21,27,['England'],190.0,right,2016-07-01,Nottingham Forest U18,2028-06-30,13000000.0,
336,897481,Eric da Silva Moreira,Right Midfield,2006-05-03,18,"['Germany', 'Portugal']",185.0,right,2024-07-01,FC St. Pauli,2028-06-30,1000000.0,
337,429014,Morgan Gibbs-White,Attacking Midfield,2000-01-27,25,"['England', 'Jamaica']",171.0,right,2022-08-19,Wolverhampton Wanderers,2027-06-30,40000000.0,
338,392768,Callum Hudson-Odoi,Left Winger,2000-11-07,24,"['England', 'Ghana']",178.0,right,2023-09-01,Chelsea FC,2026-06-30,24000000.0,
339,663244,Jota Silva,Left Winger,1999-08-01,25,['Portugal'],179.0,right,2024-08-01,Vitória Guimarães SC,2028-06-30,14000000.0,
340,745191,Ramón Sosa,Left Winger,1999-08-31,25,"['Paraguay', 'Argentina']",179.0,right,2024-08-16,CA Talleres,2029-06-30,13000000.0,
