,id,name,position,dateOfBirth,age,nationality,height,foot,joinedOn,signedFrom,contract,marketValue,status
476,358115,Luis Pérez,Right-Back,1995-02-04,30,['Spain'],173.0,right,2020-08-04,CD Tenerife,2025-06-30,2000000.0,
477,195736,Florian Grillitsch,Defensive Midfield,1995-08-07,29,['Austria'],187.0,right,2025-02-03,TSG 1899 Hoffenheim,2025-06-30,3500000.0,
478,388125,Stanko Juric,Defensive Midfield,1996-08-16,28,['Croatia'],188.0,right,2024-07-01,Parma Calcio 1913,2027-06-30,1800000.0,
479,948273,Mario Martín,Defensive Midfield,2004-03-05,20,['Spain'],177.0,right,2024-08-23,Real Madrid Castilla,2025-06-30,800000.0,
480,633056,Tamás Nikitscher,Central Midfield,1999-11-03,25,['Hungary'],193.0,right,2025-01-29,Kecskeméti TE,2028-06-30,900000.0,
481,377219,Selim Amallah,Attacking Midfield,1996-11-15,28,"['Morocco', 'Belgium']",185.0,right,2023-01-31,: Ablöse €1.00m,2027-06-30,1800000.0,
482,926763,Chuki,Attacking Midfield,2004-04-29,20,['Spain'],,left,2024-07-01,Real Valladolid Promesas,2025-06-30,500000.0,
483,624942,Raúl Moro,Left Winger,2002-12-05,22,['Spain'],169.0,right,2024-07-01,SS Lazio,2028-06-30,5000000.0,"Broken collarbone - Return expected on Mar 30, 2025"
484,211251,Darwin Machís,Left Winger,1993-02-07,32,"['Venezuela', 'Spain']",171.0,right,2023-01-19,FC Juárez,2026-06-30,1200000.0,
485,281404,Kenedy,Left Winger,1996-02-08,29,['Brazil'],180.0,left,2022-09-01,Chelsea FC,2027-06-30,500000.0,
486,339820,Amath Ndiaye,Right Winger,1996-07-16,28,"['Senegal', 'Spain']",173.0,right,2024-07-01,RCD Mallorca,2027-06-30,1200000.0,
487,327126,Anuar,Right Winger,1995-01-15,30,"['Morocco', 'Spain']",173.0,right,2017-07-01,: Ablöse -,2025-06-30,900000.0,
488,221311,Iván Sánchez,Right Winger,1992-09-23,32,['Spain'],169.0,left,2022-07-01,Birmingham City,2025-06-30,600000.0,
489,623521,Juanmi Latasa,Centre-Forward,2001-03-23,23,['Spain'],192.0,left,2024-08-14,Real Madrid,2029-06-30,2500000.0,
490,166683,Mamadou Sylla,Centre-Forward,1994-03-20,30,"['Senegal', 'Spain']",180.0,right,2023-09-01,Deportivo Alavés,2026-06-30,1500000.0,
491,481084,Marcos André,Centre-Forward,1996-10-20,28,"['Brazil', 'Spain']",185.0,right,2023-08-29,Valencia CF,2029-06-30,1500000.0,
