Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,PrgC_90,PrgP_90,PrgR_90,xG_90,xAG_90,npxG_90,npxG+xAG_90,Possession_Influence,Defensive_Contribution,Final_Third_Impact,Tactical_Adaptability,TIS
Eliot Matazo,be BEL,MF,Monaco,21.0,2002.0,6,0,102,1.1,0,1,1,0,0,0,2,0,0.1,0.1,1.0,1.1,2,10,2,0.0,0.88,0.88,0.0,0.88,0.07,0.91,0.98,0.07,0.98,Matches,1.7647058823529411,8.823529411764707,1.7647058823529411,0.08823529411764706,0.8823529411764706,0.08823529411764706,0.9705882352941178,6.862745098039217,88.88888888888889,11.02941176470588,14.379084967320265,29.579248366013072
Elif Elmas,mk MKD,"MF,FW",RB Leipzig,23.0,1999.0,14,2,266,3.0,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,9,9,18,0.0,0.0,0.0,0.0,0.0,0.27,0.04,0.31,0.27,0.31,Matches,3.045112781954887,3.045112781954887,6.090225563909774,0.2706766917293233,0.03383458646616541,0.2706766917293233,0.30451127819548873,6.7669172932330826,100.0,5.991541353383457,4.511278195488723,29.578242481203006
Gianluca Gaetano,it ITA,MF,Napoli,23.0,2000.0,9,1,161,1.8,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,6,6,5,0.56,0.0,0.56,0.56,0.56,0.35,0.27,0.62,0.35,0.62,Matches,3.354037267080745,3.354037267080745,2.795031055900621,0.3354037267080745,0.2795031055900621,0.3354037267080745,0.6149068322981367,5.279503105590062,94.44444444444444,9.899068322981364,9.109730848861286,29.570609040717734
João Pedro,br BRA,"FW,MF",Brighton,21.0,2001.0,31,19,2045,22.7,9,3,12,5,4,5,2,0,11.9,7.9,3.8,11.7,83,92,205,0.4,0.13,0.53,0.22,0.35,0.53,0.17,0.69,0.35,0.51,Matches,3.6528117359413206,4.048899755501223,9.02200488997555,0.523716381418093,0.16723716381418094,0.34767726161369195,0.5149144254278728,9.290953545232274,88.88888888888889,10.819070904645477,7.6283618581907096,29.559019288236893
Adnan Januzaj,be BEL,"FW,MF",Sevilla,28.0,1995.0,8,0,193,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,9,17,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3,Matches,0.46632124352331605,4.196891191709844,7.927461139896374,0.27979274611398963,0.0,0.27979274611398963,0.27979274611398963,6.994818652849742,100.0,5.829015544041449,4.145077720207254,29.553108808290155
Hugo González,es ESP,"MF,FW",Valencia,20.0,2003.0,9,0,87,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,2,2,7,0.0,1.03,1.03,0.0,1.03,0.02,0.53,0.55,0.02,0.55,Matches,2.0689655172413794,2.0689655172413794,7.241379310344827,0.0,0.5172413793103449,0.0,0.5172413793103449,6.321839080459771,100.0,5.387931034482758,7.662835249042147,29.54861111111111
Rafael Borré,co COL,FW,Werder Bremen,27.0,1995.0,19,11,991,11.0,4,0,4,4,0,0,0,0,2.4,2.4,1.8,4.2,16,28,73,0.36,0.0,0.36,0.36,0.36,0.22,0.16,0.38,0.22,0.38,Matches,1.4530776992936427,2.542885973763875,6.6296670030272455,0.2179616548940464,0.16347124117053483,0.2179616548940464,0.38143289606458125,5.9031281533804245,100.0,6.243693239152369,5.650857719475279,29.521316851664984
Tino Kadewere,zw ZIM,"FW,MF",Lyon,27.0,1996.0,11,2,296,3.3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,4,12,28,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.28,0.2,0.28,Matches,1.2162162162162162,3.6486486486486487,8.513513513513514,0.21283783783783783,0.09121621621621621,0.21283783783783783,0.2736486486486487,7.432432432432433,100.0,5.3842905405405395,4.054054054054055,29.519636824324326
Adel Mahamoud,km COM,FW,Nantes,20.0,2003.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,18.0,9.0,0.0,0.0,0.0,0.0,15.0,100.0,0.0,0.0,29.5
Mathis Lambourde,fr FRA,FW,Rennes,17.0,2006.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,9.0,0.0,18.0,0.0,0.0,0.0,0.0,15.0,100.0,0.0,0.0,29.5
