Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mads Hermansen,dk DEN,GK,Leicester City,24-243,2000,21,21,"1,845",20.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Son Heung-min,kr KOR,FW,Tottenham,32-246,1992,25,21,"1,813",20.1,7,9,16,6,1,2,1,0,6.5,4.9,8.0,12.8,78,90,227,0.35,0.45,0.79,0.30,0.74,0.32,0.39,0.72,0.24,0.64,Matches
James Hill,eng ENG,DF,Bournemouth,23-060,2002,8,6,412,4.6,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,2,11,6,0.00,0.22,0.22,0.00,0.22,0.06,0.05,0.12,0.06,0.12,Matches
Jack Hinshelwood,eng ENG,"MF,DF",Brighton,19-334,2005,16,14,"1,165",12.9,2,0,2,2,0,0,3,0,0.9,0.9,0.3,1.2,12,42,33,0.15,0.00,0.15,0.15,0.15,0.07,0.02,0.09,0.07,0.09,Matches
George Hirst,eng ENG,FW,Ipswich Town,26-024,1999,16,1,260,2.9,1,1,2,1,0,0,1,0,1.1,1.1,0.3,1.3,5,9,20,0.35,0.35,0.69,0.35,0.69,0.36,0.09,0.45,0.36,0.45,Matches
Mason Holgate,eng ENG,"FW,DF",Everton,28-140,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-124,2000,24,21,"1,814",20.2,5,2,7,5,0,0,2,0,2.2,2.2,2.4,4.5,103,54,162,0.25,0.10,0.35,0.25,0.35,0.11,0.12,0.22,0.11,0.22,Matches
Will Hughes,eng ENG,MF,Crystal Palace,29-328,1995,24,19,"1,641",18.2,0,3,3,0,0,0,10,0,0.9,0.9,2.5,3.4,18,79,24,0.00,0.16,0.16,0.00,0.16,0.05,0.14,0.19,0.05,0.19,Matches
Dean Huijsen,es ESP,DF,Bournemouth,19-331,2005,22,17,"1,604",17.8,2,0,2,2,0,0,6,0,1.6,1.6,0.8,2.4,25,74,4,0.11,0.00,0.11,0.11,0.11,0.09,0.05,0.14,0.09,0.14,Matches
Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-132,2003,26,25,"2,133",23.7,3,2,5,3,0,0,5,0,2.2,2.2,2.5,4.7,67,65,121,0.13,0.08,0.21,0.13,0.21,0.09,0.11,0.20,0.09,0.20,Matches
Rasmus Højlund,dk DEN,FW,Manchester Utd,22-035,2003,23,16,"1,350",15.0,2,0,2,2,0,0,2,0,2.7,2.7,1.1,3.9,20,14,67,0.13,0.00,0.13,0.13,0.13,0.18,0.08,0.26,0.18,0.26,Matches
Igor,br BRA,DF,Brighton,27-032,1998,12,9,903,10.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Danny Ings,eng ENG,"FW,MF",West Ham,32-231,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,Matches
Tim Iroegbunam,eng ENG,MF,Everton,21-254,2003,12,4,465,5.2,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,5,12,9,0.00,0.19,0.19,0.00,0.19,0.05,0.04,0.08,0.05,0.08,Matches
Andy Irving,sct SCO,MF,West Ham,24-302,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches
Alexander Isak,se SWE,FW,Newcastle Utd,25-171,1999,25,25,"2,052",22.8,19,5,24,17,2,2,1,0,15.5,13.9,3.8,17.7,64,61,163,0.83,0.22,1.05,0.75,0.96,0.68,0.17,0.85,0.61,0.78,Matches
Alex Iwobi,ng NGA,"FW,MF",Fulham,28-312,1996,28,27,"2,296",25.5,7,4,11,7,0,0,1,0,3.8,3.8,5.7,9.4,110,166,191,0.27,0.16,0.43,0.27,0.43,0.15,0.22,0.37,0.15,0.37,Matches
Nicolas Jackson,sn SEN,FW,Chelsea,23-264,2001,23,22,"1,736",19.3,9,5,14,9,0,0,5,0,11.4,11.4,4.0,15.4,41,27,94,0.47,0.26,0.73,0.47,0.73,0.59,0.21,0.80,0.59,0.80,Matches
Reece James,eng ENG,"DF,MF",Chelsea,25-093,1999,10,7,600,6.7,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.4,5,37,5,0.15,0.00,0.15,0.15,0.15,0.02,0.04,0.07,0.02,0.07,Matches
Vitaly Janelt,de GER,MF,Brentford,26-305,1998,27,24,"2,028",22.5,1,3,4,1,0,0,3,0,0.7,0.7,2.2,2.9,16,70,34,0.04,0.13,0.18,0.04,0.18,0.03,0.10,0.13,0.03,0.13,Matches
Vitezslav Jaros,cz CZE,GK,Liverpool,23-231,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Jebbison,eng ENG,FW,Bournemouth,21-210,2003,8,0,64,0.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,2,8,0.00,0.00,0.00,0.00,0.00,0.29,0.28,0.57,0.29,0.57,Matches
Mathias Jensen,dk DEN,MF,Brentford,29-069,1996,16,8,736,8.2,0,1,1,0,0,0,1,0,0.2,0.2,1.5,1.7,6,52,25,0.00,0.12,0.12,0.00,0.12,0.03,0.18,0.21,0.03,0.21,Matches
Gabriel Jesus,br BRA,FW,Arsenal,27-342,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54,Matches
Raúl Jiménez,mx MEX,FW,Fulham,33-310,1991,28,22,"1,774",19.7,10,3,13,7,3,3,3,0,10.3,7.9,2.7,10.6,28,42,98,0.51,0.15,0.66,0.36,0.51,0.52,0.14,0.66,0.40,0.54,Matches
Kim Jisoo,kr KOR,DF,Brentford,20-077,2004,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
João Pedro,br BRA,"FW,MF",Brighton,23-166,2001,22,19,"1,609",17.9,8,6,14,5,3,3,3,0,6.8,4.4,3.8,8.3,58,60,106,0.45,0.34,0.78,0.28,0.62,0.38,0.21,0.59,0.25,0.46,Matches
Joelinton,br BRA,"MF,FW",Newcastle Utd,28-209,1996,24,24,"2,004",22.3,4,1,5,4,0,0,9,0,3.7,3.7,1.6,5.3,35,104,97,0.18,0.04,0.22,0.18,0.22,0.17,0.07,0.24,0.17,0.24,Matches
Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-046,2000,17,9,953,10.6,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,12,20,20,0.00,0.09,0.09,0.00,0.09,0.06,0.06,0.12,0.06,0.12,Matches
Brennan Johnson,wls WAL,FW,Tottenham,23-292,2001,25,19,"1,717",19.1,9,2,11,9,0,0,4,0,9.2,9.2,1.6,10.8,52,57,165,0.47,0.10,0.58,0.47,0.58,0.48,0.08,0.57,0.48,0.57,Matches
Sam Johnstone,eng ENG,GK,Wolves,31-351,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Curtis Jones,eng ENG,"MF,FW",Liverpool,24-040,2001,24,13,"1,167",13.0,3,3,6,3,0,0,3,1,4.0,4.0,0.9,4.9,14,65,55,0.23,0.23,0.46,0.23,0.46,0.31,0.07,0.38,0.31,0.38,Matches
Jorginho,it ITA,MF,Arsenal,33-081,1991,12,7,543,6.0,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.5,9,37,3,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches
Diogo Jota,pt POR,FW,Liverpool,28-097,1996,18,10,844,9.4,5,3,8,5,0,0,1,0,6.1,6.1,1.7,7.8,31,23,67,0.53,0.32,0.85,0.53,0.85,0.65,0.19,0.84,0.65,0.84,Matches
James Justin,eng ENG,DF,Leicester City,27-016,1998,26,26,"2,192",24.4,2,1,3,2,0,0,3,0,1.5,1.5,0.5,2.0,32,65,76,0.08,0.04,0.12,0.08,0.12,0.06,0.02,0.08,0.06,0.08,Matches
Filip Jørgensen,dk DEN,GK,Chelsea,22-329,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-155,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14,Matches
Daichi Kamada,jp JPN,MF,Crystal Palace,28-218,1996,24,10,986,11.0,0,0,0,0,0,0,2,1,0.8,0.8,1.1,1.9,17,58,41,0.00,0.00,0.00,0.00,0.00,0.08,0.10,0.18,0.08,0.18,Matches
Boubacar Kamara,fr FRA,MF,Aston Villa,25-108,1999,17,13,"1,081",12.0,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.5,11,57,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Michael Kayode,it ITA,DF,Brentford,20-244,2004,4,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.41,0.00,0.41,Matches
