Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mohamed Haj,tn TUN,MF,Parma,19-350,2005,14,3,425,4.7,1,2,3,1,0,0,3,0,0.6,0.6,1.2,1.8,6,13,25,0.21,0.42,0.64,0.21,0.64,0.12,0.25,0.37,0.12,0.37,Matches
Ridgeciano Haps,sr SUR,DF,Venezia,31-272,1993,15,11,"1,013",11.3,0,0,0,0,0,0,3,0,1.1,1.1,0.4,1.5,17,41,31,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.13,0.10,0.13,Matches
Abdou Harroui,nl NED,"MF,FW",Hellas Verona,27-057,1998,10,5,463,5.1,1,2,3,1,0,0,1,0,2.2,2.2,0.4,2.6,23,21,34,0.19,0.39,0.58,0.19,0.58,0.43,0.09,0.51,0.43,0.51,Matches
Liam Henderson,sct SCO,MF,Empoli,28-320,1996,27,19,"1,703",18.9,0,2,2,0,0,0,8,0,0.4,0.4,2.9,3.3,13,76,40,0.00,0.11,0.11,0.00,0.11,0.02,0.15,0.17,0.02,0.17,Matches
Mario Hermoso,es ESP,DF,Roma,29-266,1995,8,2,251,2.8,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,3,14,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Theo Hernández,fr FRA,DF,Milan,27-156,1997,25,22,"2,029",22.5,3,2,5,3,0,1,3,1,2.1,1.3,3.1,4.4,71,107,115,0.13,0.09,0.22,0.13,0.22,0.09,0.14,0.23,0.06,0.20,Matches
Hernani,br BRA,MF,Parma,30-349,1994,17,12,999,11.1,3,2,5,0,3,3,4,0,2.7,0.4,1.0,1.4,25,64,28,0.27,0.18,0.45,0.00,0.18,0.25,0.09,0.34,0.03,0.12,Matches
Isak Hien,se SWE,DF,Atalanta,26-057,1999,22,19,"1,607",17.9,0,0,0,0,0,0,7,0,0.8,0.8,0.1,0.8,3,29,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,Matches
Emil Holm,se SWE,DF,Bologna,24-302,2000,15,9,864,9.6,1,1,2,1,0,0,3,0,0.5,0.5,0.4,0.8,21,44,34,0.10,0.10,0.21,0.10,0.21,0.05,0.04,0.09,0.05,0.09,Matches
Mats Hummels,de GER,DF,Roma,36-085,1988,11,9,779,8.7,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,3,24,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06,Matches
Elseid Hysaj,al ALB,DF,Lazio,31-019,1994,6,2,204,2.3,0,2,2,0,0,0,0,0,0.0,0.0,0.9,0.9,3,6,5,0.00,0.88,0.88,0.00,0.88,0.00,0.40,0.40,0.00,0.40,Matches
Jay Idzes,id IDN,DF,Venezia,24-282,2000,26,26,"2,317",25.7,1,0,1,1,0,0,3,0,1.0,1.0,0.3,1.3,14,67,11,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Matches
Jonathan Ikone,fr FRA,"FW,MF",Como,26-313,1998,5,0,121,1.3,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,6,3,9,0.74,0.00,0.74,0.74,0.74,0.26,0.02,0.28,0.26,0.28,Matches
Jonathan Ikone,fr FRA,"FW,MF",Fiorentina,26-313,1998,14,1,334,3.7,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,12,13,39,0.00,0.00,0.00,0.00,0.00,0.21,0.02,0.23,0.21,0.23,Matches
Ivan Ilić,rs SRB,MF,Torino,23-359,2001,12,8,716,8.0,1,0,1,1,0,0,3,0,0.9,0.9,0.6,1.6,23,33,35,0.13,0.00,0.13,0.13,0.13,0.12,0.08,0.20,0.12,0.20,Matches
Samuel Iling-Junior,eng ENG,"FW,MF",Bologna,21-158,2003,7,0,118,1.3,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.3,5,7,27,0.76,0.00,0.76,0.76,0.76,0.11,0.09,0.19,0.11,0.19,Matches
