Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Enzo Barrenechea,ar ARG,MF,Valencia,23-293,2001,20,17,"1,397",15.5,1,2,3,1,0,0,5,0,1.1,1.1,0.8,1.8,16,78,8,0.06,0.13,0.19,0.06,0.19,0.07,0.05,0.12,0.07,0.12,Matches
Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,23-074,2001,22,9,905,10.1,1,2,3,1,0,0,4,0,1.4,1.4,1.2,2.6,34,38,115,0.10,0.20,0.30,0.10,0.30,0.14,0.12,0.26,0.14,0.26,Matches
Pablo Barrios,es ESP,MF,Atlético Madrid,21-269,2003,21,19,"1,601",17.8,0,2,2,0,0,0,4,1,0.9,0.9,1.3,2.3,18,97,49,0.00,0.11,0.11,0.00,0.11,0.05,0.07,0.13,0.05,0.13,Matches
Thierno Barry,fr FRA,FW,Villarreal,22-141,2002,25,17,"1,576",17.5,8,3,11,7,1,1,3,0,9.2,8.4,2.2,10.7,25,17,86,0.46,0.17,0.63,0.40,0.57,0.53,0.13,0.65,0.48,0.61,Matches
Marc Bartra,es ESP,DF,Betis,34-055,1991,15,14,"1,286",14.3,2,0,2,2,0,0,1,0,1.1,1.1,0.0,1.1,4,40,1,0.14,0.00,0.14,0.14,0.14,0.07,0.00,0.07,0.07,0.07,Matches
Aboubacar Bassinga,ci CIV,MF,Las Palmas,19-241,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Augusto Batalla,ar ARG,GK,Rayo Vallecano,28-315,1996,22,22,"1,980",22.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rafael Bauza,es ESP,MF,Espanyol,20-040,2005,5,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,30-030,1995,20,11,971,10.8,2,1,3,2,0,0,1,1,2.0,2.0,2.0,4.0,49,23,105,0.19,0.09,0.28,0.19,0.28,0.19,0.18,0.37,0.19,0.37,Matches
Donny van de Beek,nl NED,MF,Girona,27-327,1997,21,15,"1,260",14.0,2,2,4,2,0,0,4,0,1.3,1.2,3.1,4.3,14,41,81,0.14,0.14,0.29,0.14,0.29,0.09,0.22,0.31,0.09,0.31,Matches
