Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Arijon Ibrahimović,de GER,FW,Bayern Munich,19-090,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Andrej Ilic,rs SRB,FW,Union Berlin,24-342,2000,7,3,379,4.2,2,0,2,1,1,1,0,0,2.2,1.4,0.1,1.5,2,4,25,0.47,0.00,0.47,0.24,0.24,0.52,0.02,0.54,0.33,0.35,Matches
Jackson Irvine,au AUS,MF,St. Pauli,32-004,1993,25,25,"2,250",25.0,0,6,6,0,0,0,2,0,2.4,2.2,3.6,5.8,18,101,46,0.00,0.24,0.24,0.00,0.24,0.10,0.14,0.24,0.09,0.23,Matches
Ko Itakura,jp JPN,DF,Gladbach,28-043,1997,23,23,"2,070",23.0,1,0,1,1,0,0,5,0,0.8,0.8,0.8,1.6,17,54,3,0.04,0.00,0.04,0.04,0.04,0.03,0.03,0.07,0.03,0.07,Matches
Hiroki Ito,jp JPN,DF,Bayern Munich,25-303,1999,4,3,208,2.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,2,13,5,0.43,0.00,0.43,0.43,0.43,0.15,0.11,0.26,0.15,0.26,Matches
Marko Ivezić,rs SRB,DF,Holstein Kiel,23-099,2001,18,14,"1,352",15.0,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,3,33,8,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches
Lee Jae-sung,kr KOR,MF,Mainz 05,32-213,1992,24,22,"1,934",21.5,6,5,11,6,0,0,4,0,3.7,3.7,4.4,8.1,20,82,117,0.28,0.23,0.51,0.28,0.51,0.17,0.20,0.38,0.17,0.38,Matches
Kristijan Jakić,hr CRO,MF,Augsburg,27-301,1997,22,20,"1,673",18.6,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,23,75,37,0.00,0.05,0.05,0.00,0.05,0.03,0.03,0.06,0.03,0.06,Matches
Dominik Javorček,sk SVK,"DF,MF",Holstein Kiel,22-129,2002,12,4,384,4.3,0,2,2,0,0,0,2,0,0.0,0.0,0.7,0.7,7,4,23,0.00,0.47,0.47,0.00,0.47,0.00,0.16,0.16,0.00,0.16,Matches
Finn Jeltsch,de GER,DF,Stuttgart,18-237,2006,3,2,183,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Fredrik Jensen,fi FIN,MF,Augsburg,27-183,1997,13,5,442,4.9,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,10,11,31,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21,Matches
Moritz Jenz,de GER,DF,Mainz 05,25-315,1999,14,13,"1,150",12.8,0,0,0,0,0,0,3,0,0.7,0.7,0.3,0.9,1,33,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Carl Johansson,se SWE,DF,Holstein Kiel,30-292,1994,5,4,365,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches
Anthony Jung,de GER,DF,Werder Bremen,33-128,1991,24,19,"1,774",19.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,17,116,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Josip Juranović,hr CRO,"DF,MF",Union Berlin,29-207,1995,11,8,720,8.0,0,0,0,0,0,0,2,0,0.1,0.1,1.7,1.7,14,39,30,0.00,0.00,0.00,0.00,0.00,0.01,0.21,0.22,0.01,0.22,Matches
David Jurásek,cz CZE,DF,Hoffenheim,24-216,2000,9,4,406,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,11,18,35,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches
Yusuf Kabadayı,de GER,"FW,MF",Augsburg,21-037,2004,5,0,71,0.8,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.7,2,3,8,1.27,0.00,1.27,1.27,1.27,0.82,0.06,0.89,0.82,0.89,Matches
Almugera Kabar,de GER,DF,Dortmund,18-278,2006,4,1,125,1.4,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,4,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
Issa Kaboré,bf BFA,"DF,FW",Werder Bremen,23-303,2001,8,2,227,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,13,6,29,0.00,0.00,0.00,0.00,0.00,0.16,0.23,0.39,0.16,0.39,Matches
Pavel Kadeřábek,cz CZE,DF,Hoffenheim,32-320,1992,17,12,"1,056",11.7,0,0,0,0,0,0,5,0,0.3,0.3,1.6,1.9,11,33,58,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,Matches
Jakub Kamiński,pl POL,"DF,MF",Wolfsburg,22-279,2002,14,8,752,8.4,0,1,1,0,0,0,2,0,0.6,0.6,2.1,2.7,22,25,33,0.00,0.12,0.12,0.00,0.12,0.07,0.26,0.33,0.07,0.33,Matches
