,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
92,Marcos Alonso,ESP,DF,Celta Vigo,es  La Liga,34-073,1990.0,20.0,1406,1594,88.2,25212,9386,579,619,93.5,688,730,94.2,117,195,60.0,0,0.6,0.8,-0.6,11,141,11,3,138
93,Giorgio Altare,ITA,DF,Venezia,it  Serie A,26-214,1998.0,8.4,283,389,72.8,5113,1998,105,129,81.4,158,198,79.8,16,49,32.7,0,0.1,0.2,-0.1,1,15,2,1,20
94,Adrià Altimira,ESP,"DF,FW",Leganés,es  La Liga,23-348,2001.0,12.0,326,410,79.5,5253,1496,179,204,87.7,118,148,79.7,25,43,58.1,0,0.0,0.2,0.0,2,27,5,0,31
95,Sergi Altimira,ESP,MF,Betis,es  La Liga,23-198,2001.0,16.8,814,925,88.0,13021,3033,407,444,91.7,321,346,92.8,56,75,74.7,1,1.5,0.9,-0.5,18,73,8,0,75
96,Edson Álvarez,MEX,MF,West Ham,eng  Premier League,27-138,1997.0,17.1,698,813,85.9,11846,3409,342,384,89.1,294,327,89.9,57,78,73.1,1,0.8,0.8,0.2,11,73,10,3,68
97,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,es  La Liga,21-252,2003.0,15.4,698,887,78.7,10624,2875,376,432,87.0,278,335,83.0,27,52,51.9,2,0.8,1.6,1.2,15,29,13,3,48
98,Julián Álvarez,ARG,"FW,MF",Atlético Madrid,es  La Liga,25-039,2000.0,19.5,483,650,74.3,6936,1581,279,340,82.1,144,179,80.4,29,61,47.5,2,2.9,3.0,-0.9,25,26,22,3,54
99,Yeray Álvarez,ESP,DF,Athletic Club,es  La Liga,30-046,1995.0,14.8,734,874,84.0,14824,5168,221,249,88.8,435,470,92.6,77,141,54.6,0,0.2,0.4,-0.2,3,67,3,2,93
100,Skelly Alvero,FRA,MF,Werder Bremen,de  Bundesliga,22-311,2002.0,2.6,68,91,74.7,1077,220,34,41,82.9,30,38,78.9,3,5,60.0,0,0.0,0.1,0.0,0,3,3,0,8
101,Will Alves,ENG,FW,Leicester City,eng  Premier League,20-036,2005.0,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
102,Selim Amallah,MAR,MF,Valladolid,es  La Liga,28-116,1996.0,11.6,240,310,77.4,4048,1217,136,147,92.5,64,81,79.0,33,58,56.9,1,0.6,1.0,0.4,9,33,6,0,38
103,Amath,SEN,"FW,DF",Valladolid,es  La Liga,28-238,1996.0,3.5,63,83,75.9,981,248,36,40,90.0,18,22,81.8,6,11,54.5,1,0.2,0.1,0.8,4,4,3,1,11
104,Jordan Amavi,FRA,DF,Brest,fr  Ligue 1,31-002,1994.0,8.8,386,526,73.4,6269,2275,182,214,85.0,175,237,73.8,21,50,42.0,0,0.2,0.4,-0.2,6,28,6,1,36
105,Aurele Amenda,SUI,DF,Eint Frankfurt,de  Bundesliga,21-223,2003.0,0.8,41,47,87.2,824,286,12,13,92.3,22,23,95.7,6,8,75.0,0,0.3,0.3,-0.3,1,0,0,0,1
106,Kelvin Amian,FRA,DF,Nantes,fr  Ligue 1,27-031,1998.0,17.4,515,637,80.8,8231,3497,267,289,92.4,194,237,81.9,38,74,51.4,0,0.7,1.3,-0.7,11,43,17,8,53
107,Michael Amir Murillo,PAN,DF,Marseille,fr  Ligue 1,29-028,1996.0,20.1,1269,1433,88.6,20005,6128,617,651,94.8,590,664,88.9,41,66,62.1,2,2.5,2.3,-0.5,21,114,16,4,110
