,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
153,Alexander Schwolow,GER,GK,Union Berlin,de  Bundesliga,32-282,1992,5,5,450,5.0,12,2.4,24,12,54.2,1,0,4,0,0.0,1,1,0,0,0.0
154,Simone Scuffet,ITA,GK,Cagliari,it  Serie A,28-284,1996,13,13,1170,13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0.0
155,Jacopo Seghetti,ITA,GK,Empoli,it  Serie A,20-022,2005,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
156,Matz Sels,BEL,GK,Nott'ham Forest,eng  Premier League,33-013,1992,28,28,2520,28.0,33,1.18,120,87,74.2,15,6,7,12,42.9,2,2,0,0,0.0
157,Alen Sherri,ALB,GK,Cagliari,it  Serie A,27-086,1997,6,6,540,6.0,9,1.5,25,16,64.0,1,2,3,1,16.7,0,0,0,0,
158,Rui Silva,POR,GK,Betis,es  La Liga,31-032,1994,15,15,1350,15.0,18,1.2,54,37,72.2,5,5,5,4,26.7,3,3,0,0,0.0
159,Marco Silvestri,ITA,GK,Empoli,it  Serie A,34-009,1991,4,4,360,4.0,10,2.5,24,15,58.3,0,1,3,0,0.0,0,0,0,0,
160,Unai Simón,ESP,GK,Athletic Club,es  La Liga,27-273,1997,10,10,900,10.0,9,0.9,29,20,69.0,4,5,1,2,20.0,0,0,0,0,
161,Tobias Sippel,GER,GK,Gladbach,de  Bundesliga,36-354,1988,1,0,59,0.7,3,4.58,4,1,25.0,0,0,0,0,,0,0,0,0,
162,Antonio Sivera,ESP,GK,Alavés,es  La Liga,28-212,1996,23,23,2000,22.2,34,1.53,90,57,72.2,5,7,11,3,13.0,9,9,0,0,0.0
163,Łukasz Skorupski,POL,GK,Bologna,it  Serie A,33-310,1991,20,20,1800,20.0,25,1.25,60,36,60.0,9,9,2,5,25.0,2,1,1,0,50.0
164,Yann Sommer,SUI,GK,Inter,it  Serie A,36-084,1988,25,25,2250,25.0,24,0.96,85,61,74.1,16,6,3,11,44.0,3,2,1,0,33.3
165,David Soria,ESP,GK,Getafe,es  La Liga,31-341,1993,27,27,2430,27.0,22,0.81,80,57,78.8,8,9,10,8,29.6,6,5,1,0,16.7
166,Juan Soriano,ESP,GK,Leganés,es  La Liga,27-200,1997,6,6,540,6.0,7,1.17,25,19,72.0,1,2,3,1,16.7,0,0,0,0,
167,Marco Sportiello,ITA,GK,Milan,it  Serie A,32-305,1992,1,1,90,1.0,2,2.0,3,1,33.3,1,0,0,0,0.0,0,0,0,0,
168,Filip Stankovic,SRB,GK,Venezia,it  Serie A,23-014,2002,16,16,1367,15.2,23,1.51,83,60,77.1,2,6,8,0,0.0,5,4,1,0,20.0
169,Jason Steele,ENG,GK,Brighton,eng  Premier League,34-205,1990,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,
170,Jakub Stolarczyk,POL,GK,Leicester City,eng  Premier League,24-082,2000,6,6,540,6.0,12,2.0,29,17,58.6,1,0,5,0,0.0,0,0,0,0,
171,Zion Suzuki,JPN,GK,Parma,it  Serie A,22-202,2002,26,26,2340,26.8,43,1.65,116,75,67.2,5,9,13,3,11.5,5,5,0,0,0.0
172,Mile Svilar,SRB,GK,Roma,it  Serie A,25-196,1999,28,28,2520,28.0,30,1.07,109,80,76.1,13,7,8,10,35.7,4,4,0,0,0.0
173,Wojciech Szczęsny,POL,GK,Barcelona,es  La Liga,34-327,1990,6,6,540,6.0,2,0.33,12,10,83.3,6,0,0,4,66.7,0,0,0,0,
174,Marc-André ter Stegen,GER,GK,Barcelona,es  La Liga,32-315,1992,6,6,494,5.5,5,0.91,15,10,73.3,6,0,0,1,16.7,1,1,0,0,0.0
175,Pietro Terracciano,ITA,GK,Fiorentina,it  Serie A,35-003,1990,3,3,270,3.0,3,1.0,13,10,76.9,0,3,0,1,33.3,0,0,0,0,
176,Kevin Trapp,GER,GK,Eint Frankfurt,de  Bundesliga,34-246,1990,21,21,1845,20.5,30,1.46,106,75,71.7,10,5,6,4,19.0,2,0,2,0,100.0
177,Mark Travers,IRL,GK,Bournemouth,eng  Premier League,25-297,1999,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,
178,Stefano Turati,ITA,GK,Monza,it  Serie A,23-187,2001,24,24,2136,23.7,41,1.73,114,73,65.8,2,6,16,2,8.3,4,2,2,0,50.0
179,Sven Ulreich,GER,GK,Bayern Munich,de  Bundesliga,36-220,1988,1,1,90,1.0,0,0.0,0,0,,1,0,0,1,100.0,0,0,0,0,
180,Jonas Urbig,GER,GK,Bayern Munich,de  Bundesliga,21-215,2003,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,
181,Maarten Vandevoordt,BEL,GK,RB Leipzig,de  Bundesliga,23-013,2002,2,1,135,1.5,1,0.67,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
