,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
96,Edson Álvarez,MEX,MF,West Ham,eng  Premier League,27-138,1997.0,17.1,0,11,1,9.1,0.64,0.06,0.0,0.0,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3
97,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,es  La Liga,21-252,2003.0,15.4,4,22,8,36.4,1.43,0.52,0.18,0.5,15.9,1,0,0,2.3,2.3,0.1,1.7,1.7
98,Julián Álvarez,ARG,"FW,MF",Atlético Madrid,es  La Liga,25-039,2000.0,19.5,10,50,23,46.0,2.56,1.18,0.18,0.39,17.4,2,1,1,8.1,7.3,0.15,1.9,1.7
99,Yeray Álvarez,ESP,DF,Athletic Club,es  La Liga,30-046,1995.0,14.8,0,7,1,14.3,0.47,0.07,0.0,0.0,17.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3
100,Skelly Alvero,FRA,MF,Werder Bremen,de  Bundesliga,22-311,2002.0,2.6,0,1,0,0.0,0.38,0.0,0.0,,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0
101,Will Alves,ENG,FW,Leicester City,eng  Premier League,20-036,2005.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
102,Selim Amallah,MAR,MF,Valladolid,es  La Liga,28-116,1996.0,11.6,3,18,6,33.3,1.55,0.52,0.11,0.33,23.4,1,1,1,2.7,1.9,0.11,0.3,0.1
103,Amath,SEN,"FW,DF",Valladolid,es  La Liga,28-238,1996.0,3.5,0,5,1,20.0,1.42,0.28,0.0,0.0,13.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4
104,Jordan Amavi,FRA,DF,Brest,fr  Ligue 1,31-002,1994.0,8.8,0,8,3,37.5,0.91,0.34,0.0,0.0,25.0,1,0,0,0.3,0.3,0.03,-0.3,-0.3
105,Aurele Amenda,SUI,DF,Eint Frankfurt,de  Bundesliga,21-223,2003.0,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
106,Kelvin Amian,FRA,DF,Nantes,fr  Ligue 1,27-031,1998.0,17.4,1,6,3,50.0,0.34,0.17,0.17,0.33,15.6,0,0,0,0.9,0.9,0.16,0.1,0.1
107,Michael Amir Murillo,PAN,DF,Marseille,fr  Ligue 1,29-028,1996.0,20.1,1,12,3,25.0,0.6,0.15,0.08,0.33,19.4,2,0,0,1.5,1.5,0.12,-0.5,-0.5
108,Nadiem Amiri,GER,MF,Mainz 05,de  Bundesliga,28-135,1996.0,19.5,6,42,19,45.2,2.15,0.97,0.1,0.21,25.0,6,2,2,4.1,2.5,0.06,1.9,1.5
109,Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,eng  Premier League,18-236,2006.0,0.3,0,1,0,0.0,3.21,0.0,0.0,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0
110,Mathis Amougou,FRA,MF,Chelsea,eng  Premier League,19-052,2006.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
111,Mathis Amougou,FRA,MF,Saint-Étienne,fr  Ligue 1,19-052,2006.0,9.5,0,7,1,14.3,0.73,0.1,0.0,0.0,18.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5
112,Mohamed Amoura,ALG,FW,Wolfsburg,de  Bundesliga,24-306,2000.0,21.0,10,57,21,36.8,2.72,1.0,0.14,0.38,17.0,0,2,2,7.0,5.5,0.1,3.0,2.5
113,Sofyan Amrabat,MAR,MF,Fiorentina,it  Serie A,28-202,1996.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
114,Joachim Andersen,DEN,DF,Crystal Palace,eng  Premier League,28-284,1996.0,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0
115,Joachim Andersen,DEN,DF,Fulham,eng  Premier League,28-284,1996.0,18.7,0,10,2,20.0,0.53,0.11,0.0,0.0,17.7,0,0,0,0.4,0.4,0.04,-0.4,-0.4
116,Elliot Anderson,ENG,MF,Nott'ham Forest,eng  Premier League,22-125,2002.0,21.0,1,28,5,17.9,1.33,0.24,0.04,0.2,20.2,0,0,0,1.3,1.3,0.05,-0.3,-0.3
117,André,BRA,MF,Wolves,eng  Premier League,23-238,2001.0,18.4,0,6,1,16.7,0.33,0.05,0.0,0.0,22.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
118,Benjamin André,FRA,MF,Lille,fr  Ligue 1,34-220,1990.0,21.9,0,15,4,26.7,0.68,0.18,0.0,0.0,16.0,0,0,0,1.3,1.3,0.09,-1.3,-1.3
119,Marcos André,BRA,FW,Valladolid,es  La Liga,28-142,1996.0,12.8,1,20,2,10.0,1.56,0.16,0.05,0.5,13.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2
120,Robert Andrich,GER,MF,Leverkusen,de  Bundesliga,30-170,1994.0,13.8,2,19,4,21.1,1.38,0.29,0.11,0.5,22.0,0,0,0,1.2,1.2,0.06,0.8,0.8
121,Angeliño,ESP,DF,Roma,it  Serie A,28-066,1997.0,25.3,2,15,4,26.7,0.59,0.16,0.13,0.5,20.7,0,0,0,0.6,0.6,0.04,1.4,1.4
122,Lorenzo Anghelè,ITA,FW,Juventus,it  Serie A,20-013,2005.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
123,Faustino Anjorin,ENG,MF,Empoli,it  Serie A,23-108,2001.0,10.9,0,18,4,22.2,1.65,0.37,0.0,0.0,24.7,0,0,0,0.8,0.8,0.04,-0.8,-0.8
