,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
95,Alex Meret,ITA,GK,Napoli,it  Serie A,27-354,1997,24.4,22,1,1,0,1,21.1,0.29,0.1,0.0,56,142,39.4,684,84,15.6,27.5,131,26.7,32.5,273,17,6.2,34,1.39,16.4
96,Alexander Meyer,GER,GK,Dortmund,de  Bundesliga,33-332,1991,2.0,4,0,0,0,0,4.0,0.36,0.0,0.0,8,33,24.2,76,3,35.5,34.8,7,85.7,63.6,24,1,4.2,2,1.0,14.8
97,Vanja Milinković-Savić,SRB,GK,Torino,it  Serie A,28-019,1997,27.0,31,1,1,7,2,36.3,0.26,7.3,0.27,161,526,30.6,1003,131,40.2,37.5,198,62.1,52.8,451,26,5.8,37,1.37,13.7
98,Lorenzo Montipò,ITA,GK,Hellas Verona,it  Serie A,29-019,1996,27.0,57,1,0,6,1,41.9,0.31,-14.1,-0.52,151,533,28.3,575,72,57.7,42.8,226,88.9,58.6,413,25,6.1,16,0.59,11.0
99,Florian Müller,GER,GK,Freiburg,de  Bundesliga,27-118,1997,3.0,7,2,0,3,0,5.9,0.39,-1.1,-0.35,17,62,27.4,106,9,46.2,37.2,17,76.5,56.6,38,0,0.0,1,0.33,12.5
100,Kevin Müller,GER,GK,Heidenheim,de  Bundesliga,33-361,1991,25.0,51,5,0,6,0,46.3,0.33,-4.7,-0.19,107,309,34.6,760,123,32.0,33.9,180,36.7,37.3,356,15,4.2,14,0.56,12.2
101,Marius Müller,GER,GK,Wolfsburg,de  Bundesliga,31-242,1993,5.3,5,0,0,2,0,7.6,0.33,2.6,0.49,37,97,38.1,184,29,39.1,36.6,34,73.5,51.4,99,9,9.1,3,0.57,11.7
102,Arijanet Muric,KVX,GK,Ipswich Town,eng  Premier League,26-124,1998,18.0,33,3,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,534,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2
103,Juan Musso,ARG,GK,Atalanta,it  Serie A,30-309,1994,1.0,0,0,0,0,0,0.7,0.19,0.7,0.74,4,20,20.0,19,4,36.8,33.1,14,92.9,56.9,15,0,0.0,1,1.0,17.5
104,Juan Musso,ARG,GK,Atlético Madrid,es  La Liga,30-309,1994,1.0,0,0,0,0,0,0.1,0.08,0.1,0.08,0,5,0.0,17,5,17.6,26.6,11,18.2,24.6,10,1,10.0,0,0.0,13.5
105,Neto,BRA,GK,Bournemouth,eng  Premier League,35-235,1989,2.0,2,0,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6
106,Manuel Neuer,GER,GK,Bayern Munich,de  Bundesliga,38-349,1986,20.0,15,1,0,2,0,12.4,0.33,-2.6,-0.13,87,179,48.6,808,71,19.7,27.7,50,40.0,38.2,144,6,4.2,38,1.9,20.0
107,Moritz Nicolas,GER,GK,Gladbach,de  Bundesliga,27-141,1997,18.2,25,5,0,1,2,29.9,0.29,6.9,0.38,95,199,47.7,734,88,23.3,28.2,60,46.7,39.8,319,18,5.6,14,0.77,12.0
108,Alexander Nübel,GER,GK,Stuttgart,de  Bundesliga,28-162,1996,25.0,39,2,1,5,0,34.2,0.3,-4.8,-0.19,126,307,41.0,891,106,30.4,31.1,88,40.9,37.6,300,11,3.7,37,1.48,16.9
109,Ørjan Nyland,NOR,GK,Sevilla,es  La Liga,34-182,1990,19.7,24,2,1,3,1,24.0,0.31,1.0,0.05,77,291,26.5,548,68,42.3,36.7,110,53.6,44.0,286,16,5.6,21,1.07,13.5
110,Jan Oblak,SVN,GK,Atlético Madrid,es  La Liga,32-063,1993,26.0,18,3,0,2,2,15.7,0.17,-0.3,-0.01,78,214,36.4,477,123,26.8,31.5,206,41.7,37.2,358,16,4.5,21,0.81,13.7
111,Maduka Okoye,NGA,GK,Udinese,it  Serie A,25-195,1999,15.0,22,4,1,2,3,21.3,0.29,2.3,0.16,78,181,43.1,485,45,29.9,30.2,58,62.1,48.5,201,11,5.5,10,0.67,13.0
112,Robin Olsen,SWE,GK,Aston Villa,eng  Premier League,35-062,1990,2.0,4,0,0,0,0,4.2,0.47,0.2,0.1,10,31,32.3,64,1,34.4,32.3,12,75.0,56.1,32,3,9.4,0,0.0,8.6
