,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
84,Sergio Akieme,ESP,DF,Reims,fr  Ligue 1,27-085,1997.0,21,1758.0,84.0,78.1,19.5,20,87.0,15,1,13.0,0,0.62,17.0,32.0,-15.0,-0.77,-0.95,21.7,36.5,-14.8,-0.76,-0.44
85,Matai Akinmboni,USA,DF,Bournemouth,eng  Premier League,18-145,2006.0,0,,,,,0,,0,0,,7,,,,,,,,,,,
86,Maghnes Akliouche,FRA,"FW,MF",Monaco,fr  Ligue 1,23-014,2002.0,23,1697.0,74.0,75.4,18.9,19,85.0,14,4,22.0,0,1.74,39.0,27.0,12.0,0.64,-0.18,44.1,24.0,20.1,1.07,-0.32
87,Paul Akouokou,CIV,MF,Lyon,fr  Ligue 1,27-081,1997.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
88,Clément Akpa,CIV,DF,Auxerre,fr  Ligue 1,23-107,2001.0,23,1852.0,81.0,82.3,20.6,21,85.0,16,2,34.0,1,1.3,30.0,32.0,-2.0,-0.1,-0.1,25.8,36.3,-10.5,-0.51,-0.44
89,Jean-Daniel Akpa-Akpro,CIV,"MF,DF",Monza,it  Serie A,32-151,1992.0,4,228.0,57.0,9.0,2.5,3,71.0,0,1,16.0,0,0.75,3.0,4.0,-1.0,-0.39,0.55,1.3,4.2,-2.9,-1.13,-0.57
90,David Akpan Ankeye,NGA,"FW,MF",Genoa,it  Serie A,23-025,2002.0,4,45.0,11.0,1.8,0.5,0,,0,4,11.0,9,0.25,1.0,1.0,0.0,0.0,0.36,0.3,0.8,-0.5,-1.07,-0.87
91,Kevin Akpoguma,NGA,DF,Hoffenheim,de  Bundesliga,29-326,1995.0,24,1695.0,71.0,75.3,18.8,17,88.0,16,7,27.0,1,1.08,25.0,36.0,-11.0,-0.58,0.06,25.2,35.7,-10.5,-0.56,-0.56
92,Chuba Akpom,ENG,FW,Lille,fr  Ligue 1,29-153,1995.0,5,287.0,57.0,12.8,3.2,3,73.0,0,2,34.0,0,1.8,5.0,6.0,-1.0,-0.31,-0.96,5.5,5.4,0.1,0.04,-0.3
93,David Alaba,AUT,DF,Real Madrid,es  La Liga,32-260,1992.0,5,258.0,52.0,10.6,2.9,3,73.0,1,2,19.0,1,2.4,5.0,3.0,2.0,0.7,-0.5,5.5,3.4,2.1,0.73,-0.22
