,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
2955,Marco Sportiello,ITA,GK,Milan,it  Serie A,32-305,1992.0,1,90.0,90.0,3.6,1.0,1,90.0,1,0,,20,3.0,3.0,2.0,1.0,1.0,0.67,3.5,1.0,2.6,2.57,2.05
2956,Anton Stach,GER,"MF,DF",Hoffenheim,de  Bundesliga,26-116,1998.0,21,1784.0,85.0,79.3,19.8,20,87.0,16,1,45.0,0,1.19,26.0,30.0,-4.0,-0.2,1.92,26.0,30.4,-4.4,-0.22,0.95
2957,Jens Stage,DEN,MF,Werder Bremen,de  Bundesliga,28-123,1996.0,19,1456.0,77.0,64.7,16.2,17,83.0,12,2,27.0,1,1.37,26.0,28.0,-2.0,-0.12,0.9,20.9,20.5,0.4,0.02,0.45
2958,Dimitrios Stamatakis,GRE,GK,Osasuna,es  La Liga,21-322,2003.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
2959,Josip Stanišić,CRO,DF,Bayern Munich,de  Bundesliga,24-343,2000.0,5,179.0,36.0,8.0,2.0,1,90.0,1,4,22.0,2,2.0,5.0,4.0,1.0,0.5,-1.67,5.2,2.2,3.0,1.49,-0.32
2960,Filip Stankovic,SRB,GK,Venezia,it  Serie A,23-014,2002.0,16,1367.0,85.0,54.2,15.2,16,85.0,15,0,,7,0.75,15.0,23.0,-8.0,-0.53,0.33,13.9,24.7,-10.8,-0.71,-0.14
2961,Jay Stansfield,ENG,MF,Fulham,eng  Premier League,22-107,2002.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,1,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.7,-0.7,-59.86,-60.13
2962,Carl Starfelt,SWE,DF,Celta Vigo,es  La Liga,29-283,1995.0,24,1986.0,83.0,81.7,22.1,22,88.0,20,2,31.0,2,1.33,29.0,33.0,-4.0,-0.18,-0.79,30.0,23.2,6.8,0.31,0.09
2963,Niklas Stark,GER,DF,Werder Bremen,de  Bundesliga,29-331,1995.0,18,1386.0,77.0,61.6,15.4,17,81.0,9,1,13.0,1,1.39,24.0,33.0,-9.0,-0.58,-0.38,20.8,22.3,-1.5,-0.1,0.1
2964,Lucas Stassin,BEL,FW,Saint-Étienne,fr  Ligue 1,20-103,2004.0,22,1373.0,62.0,61.0,15.3,17,77.0,6,5,14.0,0,0.91,19.0,34.0,-15.0,-0.98,0.76,16.4,36.6,-20.2,-1.32,-0.33
2965,Emil Staugaard,DEN,DF,St. Pauli,de  Bundesliga,23-172,2001.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
2966,Jules Stawiecki,FRA,GK,Monaco,fr  Ligue 1,17-335,2007.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
2967,Jason Steele,ENG,GK,Brighton,eng  Premier League,34-205,1990.0,2,180.0,90.0,7.1,2.0,2,90.0,2,0,,20,3.0,5.0,1.0,4.0,2.0,1.92,3.5,1.9,1.6,0.82,0.79
2968,Federico Steffanoni,ITA,MF,Atalanta,it  Serie A,16-188,2008.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
2969,Orri Steinn Óskarsson,ISL,FW,Real Sociedad,es  La Liga,20-194,2004.0,19,793.0,42.0,32.6,8.8,8,67.0,1,11,24.0,2,1.26,7.0,14.0,-7.0,-0.79,-0.9,11.2,10.9,0.3,0.03,0.07
2970,Pascal Stenzel,GER,DF,Stuttgart,de  Bundesliga,28-356,1996.0,5,132.0,26.0,5.9,1.5,2,55.0,0,3,8.0,18,0.6,4.0,4.0,0.0,0.0,-0.21,2.2,4.6,-2.4,-1.64,-2.03
2971,Artem Stepanov,UKR,FW,Leverkusen,de  Bundesliga,17-213,2007.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
2972,Jack Stephens,ENG,DF,Southampton,eng  Premier League,31-043,1994.0,11,803.0,73.0,31.9,8.9,10,79.0,6,1,10.0,3,0.64,5.0,17.0,-12.0,-1.34,0.54,9.1,18.7,-9.7,-1.09,0.59
2973,Leonidas Stergiou,SUI,DF,Stuttgart,de  Bundesliga,23-008,2002.0,8,531.0,66.0,23.6,5.9,7,76.0,3,1,2.0,4,1.88,8.0,9.0,-1.0,-0.17,-0.48,6.8,7.6,-0.8,-0.13,-0.53
2974,Raheem Sterling,ENG,"FW,MF",Arsenal,eng  Premier League,30-093,1994.0,12,310.0,26.0,12.3,3.4,4,56.0,0,8,11.0,8,2.17,7.0,2.0,5.0,1.45,0.51,5.5,2.2,3.2,0.94,0.28
2975,Enzo Sternal,FRA,"FW,MF",Marseille,fr  Ligue 1,17-287,2007.0,2,24.0,12.0,1.1,0.3,0,,0,2,12.0,2,3.0,0.0,0.0,0.0,0.0,-0.89,0.0,0.2,-0.1,-0.53,-1.08
2976,Finley Stevens,WAL,DF,St. Pauli,de  Bundesliga,21-335,2003.0,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,13,3.0,1.0,0.0,1.0,90.0,90.48,0.0,0.0,0.0,3.71,4.01
2977,Ross Stewart,SCO,"FW,MF",Southampton,eng  Premier League,28-243,1996.0,4,132.0,33.0,5.2,1.5,1,26.0,0,3,35.0,0,0.25,1.0,2.0,-1.0,-0.68,1.09,0.8,2.5,-1.8,-1.2,0.3
2978,Angelo Stiller,GER,MF,Stuttgart,de  Bundesliga,23-341,2001.0,25,2186.0,87.0,97.2,24.3,24,90.0,22,1,34.0,0,1.48,42.0,39.0,3.0,0.12,-2.69,41.2,35.0,6.2,0.25,-0.52
2979,Kevin Stöger,AUT,"MF,FW",Gladbach,de  Bundesliga,31-196,1993.0,24,1288.0,54.0,57.2,14.3,14,78.0,6,10,19.0,1,1.5,17.0,23.0,-6.0,-0.42,-1.07,22.2,28.4,-6.2,-0.43,-0.35
2980,Stoichkov,ESP,"MF,FW",Alavés,es  La Liga,31-126,1993.0,16,699.0,44.0,28.8,7.8,6,73.0,2,10,26.0,4,1.19,10.0,13.0,-3.0,-0.39,-0.02,9.5,11.3,-1.8,-0.23,-0.15
2981,Petar Stojanović,SVN,MF,Empoli,it  Serie A,29-155,1995.0,1,3.0,3.0,0.1,0.0,0,,0,1,3.0,1,3.0,0.0,0.0,0.0,0.0,0.79,0.1,0.3,-0.2,-6.0,-5.46
2982,Jakub Stolarczyk,POL,GK,Leicester City,eng  Premier League,24-082,2000.0,6,540.0,90.0,21.4,6.0,6,90.0,6,0,,5,0.5,4.0,12.0,-8.0,-1.33,-0.02,5.9,9.6,-3.7,-0.62,0.48
2983,Franz Stolz,AUT,GK,Genoa,it  Serie A,24-025,2001.0,0,,,,,0,,0,0,,7,,,,,,,,,,,
2984,John Stones,ENG,"DF,MF",Manchester City,eng  Premier League,30-287,1994.0,11,548.0,50.0,21.7,6.1,6,74.0,3,5,21.0,4,2.0,14.0,11.0,3.0,0.49,-0.05,9.8,5.7,4.1,0.67,0.3
2985,Jørgen Strand Larsen,NOR,FW,Wolves,eng  Premier League,25-033,2000.0,26,1977.0,76.0,78.5,22.0,23,81.0,10,3,39.0,0,0.77,30.0,45.0,-15.0,-0.68,-0.02,23.5,34.9,-11.4,-0.52,-0.14
2986,Gabriel Strefezza,BRA,"FW,MF",Como,it  Serie A,27-327,1997.0,27,2032.0,75.0,80.6,22.6,26,78.0,5,1,14.0,0,1.07,27.0,27.0,0.0,0.0,1.84,22.0,18.9,3.0,0.13,0.42
2987,Lars Strobl,GER,DF,Hoffenheim,de  Bundesliga,19-330,2005.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
2988,Cristhian Stuani,URU,FW,Girona,es  La Liga,38-150,1986.0,21,535.0,25.0,22.0,5.9,1,77.0,0,20,23.0,6,1.38,14.0,8.0,6.0,1.01,1.53,10.9,8.1,2.7,0.46,0.72
2989,Yann Sturm,GER,FW,Freiburg,de  Bundesliga,19-355,2005.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
2990,Álex Suárez,ESP,DF,Las Palmas,es  La Liga,31-358,1993.0,23,1909.0,83.0,78.6,21.2,23,83.0,15,0,,1,0.91,22.0,37.0,-15.0,-0.71,-0.71,19.7,39.2,-19.5,-0.92,-0.02
2991,Denis Suárez,ESP,MF,Villarreal,es  La Liga,31-064,1994.0,14,361.0,26.0,14.9,4.0,4,53.0,0,10,15.0,6,1.43,7.0,8.0,-1.0,-0.25,-0.81,6.9,5.9,1.0,0.25,-0.45
2992,Gabriel Suazo,CHI,DF,Toulouse,fr  Ligue 1,27-214,1997.0,23,1625.0,71.0,72.2,18.1,17,86.0,13,6,26.0,1,1.3,27.0,22.0,5.0,0.28,0.28,29.2,22.3,7.0,0.39,0.02
2993,Luka Sučić,CRO,MF,Real Sociedad,es  La Liga,22-184,2002.0,19,1416.0,75.0,58.3,15.7,17,82.0,10,2,13.0,3,1.26,13.0,16.0,-3.0,-0.19,-0.01,19.5,17.1,2.4,0.15,0.4
2994,Yukinari Sugawara,JPN,DF,Southampton,eng  Premier League,24-256,2000.0,25,1371.0,55.0,54.4,15.2,14,76.0,5,11,28.0,3,0.36,11.0,39.0,-28.0,-1.84,-0.27,15.3,35.8,-20.5,-1.35,0.3
2995,Niklas Süle,GER,DF,Dortmund,de  Bundesliga,29-189,1995.0,8,551.0,69.0,24.5,6.1,6,78.0,3,2,41.0,5,1.5,9.0,11.0,-2.0,-0.33,-0.75,9.9,11.6,-1.7,-0.27,-0.91
2996,Ibrahim Sulemana,GHA,MF,Atalanta,it  Serie A,21-293,2003.0,5,122.0,24.0,4.8,1.4,1,73.0,0,4,12.0,21,2.6,1.0,1.0,0.0,0.0,-1.39,0.3,1.8,-1.5,-1.12,-2.05
2997,Kamaldeen Sulemana,GHA,"FW,MF",Southampton,eng  Premier League,23-024,2002.0,16,660.0,41.0,26.2,7.3,7,73.0,4,9,16.0,2,0.25,6.0,24.0,-18.0,-2.45,-1.0,4.7,21.6,-16.9,-2.31,-1.11
2998,Crysencio Summerville,NED,"FW,MF",West Ham,eng  Premier League,23-132,2001.0,19,786.0,41.0,31.2,8.7,7,67.0,1,12,26.0,1,1.05,13.0,20.0,-7.0,-0.8,-0.33,13.6,17.1,-3.5,-0.4,-0.03
2999,Tomáš Suslov,SVK,"MF,FW",Hellas Verona,it  Serie A,22-277,2002.0,25,1760.0,70.0,69.8,19.6,22,76.0,5,3,26.0,0,0.92,16.0,33.0,-17.0,-0.87,0.67,18.2,26.7,-8.5,-0.43,0.52
3000,Suso,ESP,"FW,MF",Sevilla,es  La Liga,31-112,1993.0,9,180.0,20.0,7.4,2.0,0,,0,9,20.0,10,1.67,4.0,2.0,2.0,1.0,1.24,3.7,3.2,0.5,0.23,0.54
3001,Zion Suzuki,JPN,GK,Parma,it  Serie A,22-202,2002.0,27,2414.0,89.0,95.8,26.8,27,89.0,26,0,,0,0.89,32.0,43.0,-11.0,-0.41,2.14,32.5,44.1,-11.6,-0.43,1.54
3002,Mattias Svanberg,SWE,MF,Wolfsburg,de  Bundesliga,26-065,1999.0,18,1114.0,62.0,49.5,12.4,13,78.0,4,5,20.0,2,1.33,25.0,19.0,6.0,0.48,0.17,18.6,20.1,-1.5,-0.12,-0.06
3003,Daniel Svensson,SWE,DF,Dortmund,de  Bundesliga,23-027,2002.0,4,134.0,34.0,6.0,1.5,1,90.0,1,3,15.0,0,1.5,4.0,2.0,2.0,1.34,1.17,5.0,2.8,2.2,1.49,1.14
3004,Marin Šverko,CRO,DF,Venezia,it  Serie A,27-035,1998.0,15,1041.0,69.0,41.3,11.6,11,86.0,7,4,24.0,4,0.87,10.0,16.0,-6.0,-0.52,0.27,11.1,21.7,-10.6,-0.92,-0.46
3005,Velizar-Ilia Svetozarov Iliev,BUL,GK,Cagliari,it  Serie A,19-234,2005.0,0,,,,,0,,0,0,,8,,,,,,,,,,,
3006,Mile Svilar,SRB,GK,Roma,it  Serie A,25-196,1999.0,28,2520.0,90.0,100.0,28.0,28,90.0,28,0,,0,1.64,43.0,30.0,13.0,0.46,,40.5,30.7,9.8,0.35,
3007,Michael Svoboda,AUT,DF,Venezia,it  Serie A,26-147,1998.0,16,1314.0,82.0,52.1,14.6,15,86.0,14,1,23.0,0,0.63,13.0,28.0,-15.0,-1.03,-0.73,15.2,22.9,-7.8,-0.53,0.25
3008,Williot Swedberg,SWE,"FW,MF",Celta Vigo,es  La Liga,21-038,2004.0,24,1052.0,44.0,43.3,11.7,12,60.0,0,12,27.0,0,1.21,21.0,15.0,6.0,0.51,0.97,19.1,12.3,6.7,0.58,0.5
3009,Niklas Swider,GER,MF,Gladbach,de  Bundesliga,18-065,2007.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
3010,Grégoire Swiderski,CAN,GK,Alavés,es  La Liga,19-157,2005.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
3011,Sil Swinkels,NED,DF,Aston Villa,eng  Premier League,21-064,2004.0,0,,,,,0,,0,0,,5,,,,,,,,,,,
3012,Abakar Sylla,CIV,DF,Strasbourg,fr  Ligue 1,22-076,2002.0,16,830.0,52.0,36.9,9.2,9,77.0,6,7,20.0,6,1.63,14.0,19.0,-5.0,-0.54,-1.3,13.0,17.1,-4.1,-0.45,-0.41
3013,Issiaga Sylla,GUI,DF,Montpellier,fr  Ligue 1,31-069,1994.0,15,912.0,61.0,40.5,10.1,13,69.0,6,2,5.0,0,0.73,9.0,20.0,-11.0,-1.09,0.73,13.6,18.8,-5.2,-0.51,0.49
3014,Mamadou Sylla,SEN,"FW,MF",Valladolid,es  La Liga,30-356,1994.0,20,1061.0,53.0,43.7,11.8,12,78.0,4,8,16.0,5,0.65,8.0,28.0,-20.0,-1.7,-0.12,11.2,20.9,-9.7,-0.82,0.18
3015,Attila Szalai,HUN,"DF,MF",Hoffenheim,de  Bundesliga,27-050,1998.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
3016,Wojciech Szczęsny,POL,GK,Barcelona,es  La Liga,34-327,1990.0,6,540.0,90.0,22.2,6.0,6,90.0,6,0,,11,2.57,19.0,2.0,17.0,2.83,1.45,13.8,3.8,10.0,1.67,0.48
3017,Sammie Szmodics,IRL,"FW,MF",Ipswich Town,eng  Premier League,29-168,1995.0,19,979.0,52.0,38.8,10.9,13,70.0,0,6,12.0,2,0.68,11.0,17.0,-6.0,-0.55,0.97,11.1,22.7,-11.6,-1.06,-0.03
3018,Dominik Szoboszlai,HUN,MF,Liverpool,eng  Premier League,24-137,2000.0,27,1953.0,72.0,74.8,21.7,22,83.0,15,5,27.0,0,2.44,48.0,19.0,29.0,1.34,-0.44,48.6,18.8,29.7,1.37,-0.01
3019,Alexander Sørloth,NOR,FW,Atlético Madrid,es  La Liga,29-096,1995.0,24,1002.0,42.0,41.2,11.1,9,69.0,2,15,26.0,2,2.17,23.0,7.0,16.0,1.44,0.81,21.5,10.5,11.0,0.99,0.5
3020,Musa Al-Taamari,JOR,"FW,MF",Montpellier,fr  Ligue 1,27-274,1997.0,15,1116.0,74.0,49.6,12.4,12,86.0,8,3,28.0,0,0.8,13.0,21.0,-8.0,-0.65,1.74,16.6,21.5,-4.9,-0.39,0.82
3021,Musa Al-Taamari,JOR,"MF,FW",Rennes,fr  Ligue 1,27-274,1997.0,5,275.0,55.0,12.2,3.1,3,74.0,1,2,27.0,0,1.8,6.0,2.0,4.0,1.31,1.54,8.0,4.4,3.7,1.2,1.37
3022,Haris Tabakovic,BIH,"FW,MF",Hoffenheim,de  Bundesliga,30-264,1994.0,14,477.0,34.0,21.2,5.3,3,72.0,1,11,24.0,7,1.0,7.0,8.0,-1.0,-0.19,0.52,6.5,9.2,-2.7,-0.51,-0.12
3023,Nicolás Tagliafico,ARG,DF,Lyon,fr  Ligue 1,32-192,1992.0,16,1355.0,85.0,60.2,15.1,16,85.0,12,0,,2,1.56,29.0,20.0,9.0,0.6,-0.01,26.2,22.3,3.9,0.26,0.12
3024,Jonathan Tah,GER,DF,Leverkusen,de  Bundesliga,29-028,1996.0,24,2160.0,90.0,96.0,24.0,24,90.0,24,0,,0,2.08,54.0,30.0,24.0,1.0,0.0,44.9,24.3,20.6,0.86,-0.21
3025,Alain Taho,ALB,GK,Inter,it  Serie A,17-315,2007.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
3026,Adrien Tameze,CMR,"MF,DF",Torino,it  Serie A,31-035,1994.0,16,598.0,37.0,23.7,6.6,8,58.0,0,8,17.0,9,1.44,9.0,8.0,1.0,0.15,0.24,8.9,8.8,0.1,0.01,0.62
3027,Axel Tapé,FRA,MF,Paris S-G,fr  Ligue 1,17-213,2007.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
3028,Renato Tapia,PER,"MF,DF",Leganés,es  La Liga,29-226,1995.0,23,1467.0,64.0,60.4,16.3,17,77.0,8,6,26.0,0,0.96,17.0,31.0,-14.0,-0.86,-0.67,12.4,26.9,-14.5,-0.89,-0.34
3029,Edmond Tapsoba,BFA,DF,Leverkusen,de  Bundesliga,26-037,1999.0,23,2020.0,88.0,89.8,22.4,23,88.0,21,0,,1,2.13,51.0,28.0,23.0,1.02,0.24,42.1,22.7,19.5,0.87,0.01
3030,Florian Tardieu,FRA,MF,Saint-Étienne,fr  Ligue 1,32-323,1992.0,15,568.0,38.0,25.2,6.3,5,80.0,2,10,17.0,7,0.87,6.0,14.0,-8.0,-1.27,0.02,5.9,16.3,-10.4,-1.64,-0.6
3031,Mehdi Taremi,IRN,FW,Inter,it  Serie A,32-236,1992.0,20,562.0,28.0,22.3,6.2,4,70.0,1,16,18.0,8,2.2,10.0,5.0,5.0,0.8,-0.62,13.3,6.0,7.3,1.17,0.3
3032,Matt Targett,ENG,DF,Newcastle Utd,eng  Premier League,29-174,1995.0,1,12.0,12.0,0.5,0.1,0,,0,1,12.0,13,3.0,1.0,0.0,1.0,7.5,7.21,0.3,0.2,0.1,0.56,0.17
3033,Oussama Targhalline,MAR,MF,Le Havre,fr  Ligue 1,22-295,2002.0,14,990.0,71.0,44.0,11.0,12,78.0,5,2,26.0,1,0.71,8.0,22.0,-14.0,-1.27,-0.34,12.5,18.1,-5.6,-0.51,0.27
3034,James Tarkowski,ENG,DF,Everton,eng  Premier League,32-112,1992.0,28,2511.0,90.0,99.6,27.9,28,90.0,27,0,,0,1.18,31.0,35.0,-4.0,-0.14,-0.14,30.4,34.7,-4.3,-0.15,-0.95
3035,César Tárrega,ESP,DF,Valencia,es  La Liga,23-013,2002.0,24,2126.0,89.0,87.5,23.6,24,89.0,23,0,,3,1.08,26.0,38.0,-12.0,-0.51,0.38,26.4,33.3,-6.9,-0.29,0.3
3036,Nuno Tavares,POR,DF,Lazio,it  Serie A,25-044,2000.0,20,1517.0,76.0,60.2,16.9,19,78.0,5,1,31.0,2,1.9,27.0,21.0,6.0,0.36,-0.36,23.7,16.9,6.8,0.4,-0.19
3037,Marcus Tavernier,ENG,"FW,MF",Bournemouth,eng  Premier League,25-354,1999.0,21,1415.0,67.0,56.2,15.7,15,84.0,7,6,26.0,0,1.48,23.0,21.0,2.0,0.13,-0.77,29.8,18.4,11.4,0.72,0.56
3038,Elayis Tavsan,NED,"FW,MF",Hellas Verona,it  Serie A,23-315,2001.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
3039,Charlie Taylor,ENG,DF,Southampton,eng  Premier League,31-174,1993.0,7,266.0,38.0,10.6,3.0,2,90.0,2,5,17.0,6,0.14,2.0,10.0,-8.0,-2.71,-1.11,3.2,7.4,-4.2,-1.43,0.06
3040,Jack Taylor,IRL,MF,Ipswich Town,eng  Premier League,26-261,1998.0,22,490.0,22.0,19.4,5.4,1,89.0,0,21,19.0,1,0.5,4.0,8.0,-4.0,-0.73,0.51,4.9,8.5,-3.6,-0.66,0.47
3041,Loum Tchaouna,FRA,"FW,MF",Lazio,it  Serie A,21-184,2003.0,20,565.0,28.0,22.4,6.3,5,53.0,0,15,20.0,7,1.65,17.0,8.0,9.0,1.43,1.2,11.2,10.4,0.8,0.13,-0.45
3042,Jackson Tchatchoua,CMR,"DF,MF",Hellas Verona,it  Serie A,23-178,2001.0,26,2267.0,87.0,90.0,25.2,26,87.0,23,0,,0,0.88,24.0,53.0,-29.0,-1.15,-0.8,25.3,39.6,-14.3,-0.57,0.23
3043,Enzo Tchato,CMR,DF,Montpellier,fr  Ligue 1,22-108,2002.0,24,1764.0,74.0,78.4,19.6,18,86.0,13,6,36.0,0,0.63,18.0,44.0,-26.0,-1.33,0.9,23.8,34.5,-10.7,-0.54,1.21
3044,Aurélien Tchouaméni,FRA,"MF,DF",Real Madrid,es  La Liga,25-043,2000.0,22,1904.0,87.0,78.4,21.2,22,87.0,19,0,,0,1.91,41.0,22.0,19.0,0.9,-1.16,33.6,21.5,12.1,0.57,-1.62
3045,Álvaro Tejero,ESP,"MF,DF",Espanyol,es  La Liga,28-234,1996.0,23,1153.0,50.0,47.4,12.8,13,75.0,4,10,18.0,4,1.0,14.0,22.0,-8.0,-0.62,-0.34,9.3,22.3,-13.0,-1.02,-0.5
3046,Martín Tejón,ESP,"MF,DF",Valencia,es  La Liga,20-333,2004.0,4,49.0,12.0,2.0,0.5,0,,0,4,12.0,7,0.0,0.0,1.0,-1.0,-1.84,-1.31,0.4,1.0,-0.6,-1.19,-0.87
3047,Mathys Tel,FRA,FW,Tottenham,eng  Premier League,19-318,2005.0,3,229.0,76.0,9.1,2.5,3,76.0,1,0,,1,2.0,3.0,2.0,1.0,0.39,-0.12,4.1,4.7,-0.5,-0.21,-0.19
3048,Mathys Tel,FRA,"FW,MF",Bayern Munich,de  Bundesliga,19-318,2005.0,8,256.0,32.0,11.4,2.8,2,60.0,0,6,23.0,9,2.13,6.0,3.0,3.0,1.05,-1.11,7.4,2.1,5.4,1.88,0.11
3049,Nathan Tella,NGA,"MF,FW",Leverkusen,de  Bundesliga,25-249,1999.0,20,978.0,49.0,43.5,10.9,11,72.0,1,9,20.0,3,2.1,23.0,10.0,13.0,1.2,0.35,19.1,9.0,10.0,0.92,0.1
3050,Nahuel Tenaglia,ARG,DF,Alavés,es  La Liga,29-018,1996.0,24,2093.0,87.0,86.1,23.3,24,87.0,21,0,,1,0.92,23.0,33.0,-10.0,-0.43,-0.43,25.7,29.7,-4.1,-0.18,-0.37
3051,Arnau Tenas,ESP,GK,Paris S-G,fr  Ligue 1,23-285,2001.0,0,,,,,0,,0,0,,10,,,,,,,,,,,
3052,Casper Tengstedt,DEN,"FW,MF",Hellas Verona,it  Serie A,24-283,2000.0,21,1351.0,64.0,53.6,15.0,18,70.0,2,3,30.0,3,0.81,15.0,32.0,-17.0,-1.13,-0.13,14.5,24.2,-9.8,-0.65,-0.13
3053,Marc-André ter Stegen,GER,GK,Barcelona,es  La Liga,32-315,1992.0,6,494.0,82.0,20.3,5.5,6,82.0,5,0,,0,3.0,19.0,5.0,14.0,2.55,1.06,15.0,5.6,9.3,1.7,0.5
3054,Filippo Terracciano,ITA,"DF,MF",Milan,it  Serie A,22-031,2003.0,10,527.0,53.0,20.9,5.9,6,82.0,4,4,9.0,18,1.8,6.0,6.0,0.0,0.0,-0.45,7.9,7.0,0.9,0.16,-0.56
3055,Pietro Terracciano,ITA,GK,Fiorentina,it  Serie A,35-003,1990.0,3,270.0,90.0,10.7,3.0,3,90.0,3,0,,25,1.0,3.0,3.0,0.0,0.0,-0.52,3.6,2.6,1.0,0.33,0.17
3056,Ramón Terrats,ESP,"MF,FW",Villarreal,es  La Liga,24-144,2000.0,11,131.0,12.0,5.4,1.5,1,45.0,0,10,9.0,5,1.73,2.0,4.0,-2.0,-1.37,-1.92,2.0,3.5,-1.6,-1.07,-1.79
3057,Ramón Terrats,ESP,MF,Getafe,es  La Liga,24-144,2000.0,5,420.0,84.0,17.3,4.7,5,84.0,2,0,,0,1.8,5.0,3.0,2.0,0.43,0.47,3.2,5.0,-1.8,-0.4,-0.16
3058,Martin Terrier,FRA,"MF,FW",Leverkusen,de  Bundesliga,28-007,1997.0,15,584.0,39.0,26.0,6.5,7,61.0,0,8,20.0,0,2.4,17.0,10.0,7.0,1.08,0.11,13.1,8.5,4.6,0.71,-0.22
3059,Tanner Tessmann,USA,MF,Lyon,fr  Ligue 1,23-168,2001.0,16,733.0,46.0,32.6,8.1,8,80.0,4,8,12.0,7,2.06,18.0,10.0,8.0,0.98,0.57,11.9,11.1,0.8,0.1,-0.16
3060,Kenny Tete,NED,DF,Fulham,eng  Premier League,29-153,1995.0,15,1262.0,84.0,50.1,14.0,15,84.0,11,0,,1,1.4,17.0,17.0,0.0,0.0,-0.21,19.3,16.6,2.7,0.19,-0.09
3061,Teddy Teuma,MLT,MF,Reims,fr  Ligue 1,31-162,1993.0,17,750.0,44.0,33.3,8.3,9,67.0,1,8,18.0,2,1.12,7.0,19.0,-12.0,-1.44,-1.32,7.0,19.4,-12.4,-1.49,-1.24
3062,Jordan Teze,NED,DF,Monaco,fr  Ligue 1,25-162,1999.0,12,377.0,31.0,16.8,4.2,5,62.0,0,7,10.0,3,2.25,9.0,3.0,6.0,1.43,0.9,9.6,5.2,4.4,1.06,-0.1
3063,Florian Thauvin,FRA,"FW,MF",Udinese,it  Serie A,32-044,1993.0,25,1956.0,78.0,77.6,21.7,24,81.0,7,1,13.0,0,1.36,29.0,33.0,-4.0,-0.18,-0.34,23.6,28.5,-4.9,-0.22,0.38
3064,Arthur Theate,BEL,DF,Eint Frankfurt,de  Bundesliga,24-290,2000.0,23,2033.0,88.0,90.4,22.6,23,88.0,21,0,,0,1.7,43.0,33.0,10.0,0.44,-0.39,40.1,35.0,5.1,0.23,-0.93
3065,Norman Theuerkauf,GER,MF,Heidenheim,de  Bundesliga,38-046,1987.0,1,22.0,22.0,1.0,0.2,0,,0,1,22.0,15,0.0,0.0,1.0,-1.0,-4.09,-3.2,0.2,0.9,-0.6,-2.57,-2.14
3066,Thiago,BRA,FW,Brentford,eng  Premier League,23-258,2001.0,4,132.0,33.0,5.2,1.5,1,72.0,0,3,20.0,0,1.75,3.0,2.0,1.0,0.68,0.57,0.9,2.5,-1.5,-1.05,-1.12
3067,Malick Thiaw,GER,DF,Milan,it  Serie A,23-215,2001.0,19,1549.0,82.0,61.5,17.2,17,89.0,16,2,22.0,5,1.58,22.0,19.0,3.0,0.17,-0.47,30.2,16.7,13.5,0.78,0.48
3068,Denis Thomalla,GER,MF,Heidenheim,de  Bundesliga,32-207,1992.0,1,4.0,4.0,0.2,0.0,0,,0,1,4.0,0,0.0,0.0,1.0,-1.0,-22.5,-21.62,0.9,0.6,0.2,5.43,5.89
3069,Luke Thomas,ENG,DF,Leicester City,eng  Premier League,23-274,2001.0,4,273.0,68.0,10.8,3.0,3,90.0,2,1,4.0,11,0.0,2.0,7.0,-5.0,-1.65,-0.37,1.6,5.8,-4.2,-1.39,-0.44
3070,Sorba Thomas,WAL,"FW,MF",Nantes,fr  Ligue 1,25-201,1999.0,19,939.0,49.0,41.7,10.4,10,78.0,1,9,18.0,3,1.0,13.0,21.0,-8.0,-0.77,-0.29,12.6,17.1,-4.5,-0.43,-0.03
3071,Adrien Thomasson,FRA,MF,Lens,fr  Ligue 1,31-091,1993.0,24,1947.0,81.0,86.5,21.6,24,81.0,12,0,,0,1.38,25.0,23.0,2.0,0.09,0.39,33.0,28.8,4.2,0.19,-0.04
3072,Morten Thorsby,NOR,MF,Genoa,it  Serie A,28-310,1996.0,23,1539.0,67.0,61.1,17.1,18,79.0,7,5,22.0,1,1.17,16.0,22.0,-6.0,-0.35,0.02,18.5,22.3,-3.7,-0.22,-0.02
3073,Khéphren Thuram,FRA,MF,Juventus,it  Serie A,23-350,2001.0,26,1549.0,60.0,61.5,17.2,17,80.0,7,9,21.0,0,1.85,26.0,13.0,13.0,0.76,0.11,24.9,15.3,9.6,0.56,0.23
