,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1445,Marcos Llorente,ESP,"DF,MF",Atlético Madrid,es  La Liga,30-040,1995.0,16.9,0,1,0,12,15,2,38,19,32,0,0,0,84,11,13,45.8
1446,Gautier Lloris,FRA,DF,Le Havre,fr  Ligue 1,29-236,1995.0,24.0,5,0,0,23,7,2,2,21,35,0,2,0,78,52,29,64.2
1447,Giovani Lo Celso,ARG,"MF,FW",Betis,es  La Liga,28-336,1996.0,11.5,3,0,0,11,44,0,78,5,18,0,0,0,53,4,9,30.8
1448,Stanislav Lobotka,SVK,MF,Napoli,it  Serie A,30-106,1994.0,22.7,3,0,0,18,26,0,2,20,26,0,1,0,143,5,5,50.0
1449,Manuel Locatelli,ITA,MF,Juventus,it  Serie A,27-062,1998.0,21.7,5,0,0,33,15,1,13,18,30,0,1,0,95,26,15,63.4
1450,Ruben Loftus-Cheek,ENG,MF,Milan,it  Serie A,29-047,1996.0,7.6,1,0,0,13,19,0,5,2,6,0,0,0,26,11,7,61.1
1451,Elysée Logbo,FRA,FW,Le Havre,fr  Ligue 1,20-309,2004.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
1452,Enzo Loiodice,FRA,MF,Las Palmas,es  La Liga,24-104,2000.0,5.6,3,0,0,9,5,1,9,5,4,0,0,0,20,6,4,60.0
1453,Sean Longstaff,ENG,MF,Newcastle Utd,eng  Premier League,27-132,1997.0,8.3,2,0,0,9,5,0,5,6,16,0,0,0,29,6,7,46.2
1454,Ademola Lookman,NGA,"FW,MF",Atalanta,it  Serie A,27-142,1997.0,17.4,4,0,0,24,15,24,77,2,12,0,0,0,48,10,11,47.6
1455,Anthony Lopes,POR,GK,Nantes,fr  Ligue 1,34-161,1990.0,10.0,1,0,0,0,1,0,0,0,0,0,0,0,7,2,0,100.0
1456,David López,ESP,DF,Girona,es  La Liga,35-153,1989.0,21.8,3,0,0,6,11,1,3,12,18,0,1,0,76,26,25,51.0
1457,Diego López,ESP,"MF,FW",Valencia,es  La Liga,22-302,2002.0,21.4,2,0,0,15,25,12,54,10,13,1,0,0,65,12,45,21.1
1458,Fer López,nan,"FW,MF",Celta Vigo,es  La Liga,,,2.6,1,0,0,4,2,0,0,1,2,0,0,0,8,1,2,33.3
1459,Fermin López,ESP,"MF,FW",Barcelona,es  La Liga,21-304,2003.0,7.2,3,1,0,14,12,2,18,4,9,0,0,0,36,6,13,31.6
1460,Javi López,ESP,DF,Real Sociedad,es  La Liga,22-351,2002.0,16.2,2,0,0,17,19,1,39,4,16,0,0,0,75,8,14,36.4
1461,Pau López,ESP,GK,Girona,es  La Liga,30-088,1994.0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
1462,Roberto López,ESP,MF,Leganés,es  La Liga,24-321,2000.0,4.4,0,0,0,1,3,0,23,1,5,0,0,0,28,1,5,16.7
1463,Unai López,ESP,MF,Rayo Vallecano,es  La Liga,29-132,1995.0,12.5,7,1,0,13,11,1,15,19,12,0,0,0,84,6,8,42.9
1464,Iker Losada,ESP,"FW,MF",Celta Vigo,es  La Liga,23-222,2001.0,2.6,1,0,0,2,0,0,4,1,3,0,0,0,7,1,3,25.0
1465,Iker Losada,ESP,"MF,FW",Betis,es  La Liga,23-222,2001.0,3.7,0,0,0,1,2,0,4,3,7,0,0,0,19,3,4,42.9
1466,Anthony Losilla,FRA,MF,Bochum,de  Bundesliga,39-001,1986.0,12.0,1,0,0,18,9,1,4,18,16,0,0,0,40,25,22,53.2
1467,Jordan Lotomba,SUI,"MF,DF",Nice,fr  Ligue 1,26-163,1998.0,0.4,0,0,0,2,0,1,2,0,0,0,0,0,2,0,0,
1468,Tom Louchet,FRA,"DF,MF",Nice,fr  Ligue 1,21-311,2003.0,6.8,1,0,0,7,7,0,26,14,14,0,0,0,29,8,2,80.0
1469,Sandi Lovrić,SVN,MF,Udinese,it  Serie A,26-348,1998.0,20.4,4,0,0,41,30,0,71,20,25,1,0,0,100,0,14,0.0
1470,Pol Lozano,ESP,MF,Espanyol,es  La Liga,25-156,1999.0,15.7,9,0,0,42,12,0,15,18,27,0,0,0,72,6,13,31.6
1471,Lorenzo Lucca,ITA,FW,Udinese,it  Serie A,24-182,2000.0,21.0,8,0,0,51,41,13,5,5,6,0,0,0,35,46,57,44.7
1472,Jhon Lucumí,COL,DF,Bologna,it  Serie A,26-258,1998.0,20.9,5,1,0,16,7,0,3,17,18,0,1,0,130,31,30,50.8
1473,Yannik Lührs,GER,DF,Dortmund,de  Bundesliga,21-183,2003.0,1.4,0,0,0,2,0,0,0,2,1,0,0,0,5,4,1,80.0
1474,José Luis Gayà,ESP,DF,Valencia,es  La Liga,29-290,1995.0,11.7,3,0,0,19,9,2,52,13,25,0,0,0,57,7,5,58.3
1475,José Luis Palomino,ARG,DF,Cagliari,it  Serie A,35-065,1990.0,4.3,1,0,0,2,1,0,0,7,5,0,1,0,15,4,6,40.0
1476,Douglas Luiz,BRA,MF,Juventus,it  Serie A,26-306,1998.0,5.4,2,0,0,12,6,0,23,2,8,0,1,0,28,5,3,62.5
1477,Romelu Lukaku,BEL,FW,Napoli,it  Serie A,31-302,1993.0,22.3,1,0,0,33,28,17,2,0,2,0,0,0,28,23,33,41.1
1478,Castello Lukeba,FRA,DF,RB Leipzig,de  Bundesliga,22-084,2002.0,11.3,1,0,0,6,8,0,5,11,11,0,0,0,43,17,11,60.7
1479,Dodi Lukebakio,BEL,FW,Sevilla,es  La Liga,27-168,1997.0,25.0,2,0,0,26,40,16,100,4,12,0,0,0,85,13,12,52.0
1480,Saša Lukić,SRB,MF,Fulham,eng  Premier League,28-210,1996.0,19.3,10,0,0,49,23,0,49,22,29,0,0,0,87,18,18,50.0
1481,Milos Lukovic,SRB,"FW,MF",Strasbourg,fr  Ligue 1,19-113,2005.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1482,Joe Lumley,ENG,GK,Southampton,eng  Premier League,30-024,1995.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66.7
1483,Daniel Luna,COL,MF,Mallorca,es  La Liga,21-308,2003.0,0.2,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,
1484,Andriy Lunin,UKR,GK,Real Madrid,es  La Liga,26-028,1999.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,100.0
1485,Massimo Luongo,AUS,MF,Ipswich Town,eng  Premier League,32-167,1992.0,2.0,0,0,0,1,2,0,1,2,5,0,0,0,10,1,0,100.0
1486,Sebastiano Luperto,ITA,DF,Cagliari,it  Serie A,28-186,1996.0,28.0,2,0,0,18,14,1,5,24,19,0,1,0,101,51,45,53.1
1487,Zito Luvumbo,ANG,"FW,MF",Cagliari,it  Serie A,23-002,2002.0,12.3,2,0,0,33,34,6,47,1,3,0,0,0,30,6,9,40.0
1488,Charalambos Lykogiannis,GRE,DF,Bologna,it  Serie A,31-140,1993.0,9.6,2,0,0,7,7,2,82,9,10,0,0,0,34,18,12,60.0
1489,Senne Lynen,BEL,MF,Werder Bremen,de  Bundesliga,26-020,1999.0,21.9,7,0,0,28,19,0,4,46,29,0,0,0,141,18,20,47.4
1490,Mathias Løvik,NOR,"DF,FW",Parma,it  Serie A,21-095,2003.0,0.9,0,0,0,2,0,0,3,2,0,0,0,0,2,2,2,50.0
1491,Othmane Maamma,MAR,"FW,MF",Montpellier,fr  Ligue 1,19-156,2005.0,1.9,1,0,0,3,6,0,7,1,1,0,0,0,7,1,3,25.0
1492,Ian Maatsen,NED,DF,Aston Villa,eng  Premier League,23-001,2002.0,6.9,2,0,0,7,6,3,35,9,8,0,0,0,41,7,5,58.3
1493,Alexis Mac Allister,ARG,MF,Liverpool,eng  Premier League,26-077,1998.0,23.5,6,0,0,52,33,2,43,19,48,0,0,0,114,16,21,43.2
1494,Deiver Machado,COL,DF,Lens,fr  Ligue 1,31-190,1993.0,14.1,5,2,1,22,16,4,40,12,21,0,0,0,58,15,11,57.7
1495,Shuto Machino,JPN,"FW,MF",Holstein Kiel,de  Bundesliga,25-162,1999.0,14.7,1,0,0,12,15,8,20,6,4,0,0,0,34,18,23,43.9
1496,Darwin Machís,VEN,"FW,MF",Valladolid,es  La Liga,32-032,1993.0,4.7,0,0,0,2,4,2,37,3,3,0,0,0,20,3,1,75.0
1497,Yvann Macon,FRA,DF,Saint-Étienne,fr  Ligue 1,26-161,1998.0,5.8,2,0,0,17,7,0,20,1,6,0,0,0,30,3,10,23.1
1498,James Maddison,ENG,MF,Tottenham,eng  Premier League,28-108,1996.0,16.7,6,0,0,24,53,2,87,11,16,0,0,0,65,5,6,45.5
1499,Eros Maddy,NED,DF,Auxerre,fr  Ligue 1,24-034,2001.0,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
1500,Noni Madueke,ENG,FW,Chelsea,eng  Premier League,23-001,2002.0,16.1,3,0,0,17,18,3,46,7,11,0,0,0,60,9,11,45.0
1501,Pablo Maffeo,ESP,DF,Mallorca,es  La Liga,27-242,1997.0,18.6,3,0,0,9,29,0,67,20,27,0,0,0,76,14,13,51.9
1502,Gabriel Magalhães,BRA,DF,Arsenal,eng  Premier League,27-082,1997.0,25.1,3,0,0,18,18,0,9,15,14,1,0,0,59,52,36,59.1
1503,Soungoutou Magassa,FRA,MF,Monaco,fr  Ligue 1,21-154,2003.0,9.8,5,0,0,23,15,0,6,21,23,0,0,0,72,11,19,36.7
1504,Edmond-Paris Maghoma,ENG,"MF,FW",Brentford,eng  Premier League,23-307,2001.0,1.2,0,0,0,2,3,0,3,1,1,0,0,0,5,1,3,25.0
1505,Giangiacomo Magnani,ITA,DF,Hellas Verona,it  Serie A,29-158,1995.0,11.8,2,0,0,8,11,0,2,17,15,0,0,0,38,29,18,61.7
1506,Hugo Magnetti,FRA,MF,Brest,fr  Ligue 1,26-285,1998.0,19.7,4,0,0,18,16,0,11,14,25,0,0,0,84,7,9,43.8
1507,Frank Magri,CMR,FW,Toulouse,fr  Ligue 1,25-188,1999.0,9.4,3,1,0,13,14,3,2,2,0,0,0,0,16,26,46,36.1
1508,Harry Maguire,ENG,DF,Manchester Utd,eng  Premier League,32-006,1993.0,15.1,7,0,0,15,6,1,2,35,13,0,0,0,51,48,21,69.6
1509,Jon Magunazelaia,ESP,MF,Real Sociedad,es  La Liga,24-241,2000.0,0.1,0,0,0,1,1,0,0,0,1,0,0,0,5,3,0,100.0
1510,Arne Maier,GER,MF,Augsburg,de  Bundesliga,26-062,1999.0,9.1,0,0,0,8,6,0,54,4,6,0,0,0,68,4,6,40.0
1511,Mike Maignan,FRA,GK,Milan,it  Serie A,29-251,1995.0,27.0,1,0,0,1,4,0,0,0,0,0,1,0,49,4,0,100.0
1512,Patrick Mainka,GER,DF,Heidenheim,de  Bundesliga,30-125,1994.0,25.0,3,0,0,15,19,2,4,52,24,0,0,0,122,83,52,61.5
1513,Kobbie Mainoo,ENG,MF,Manchester Utd,eng  Premier League,19-326,2005.0,14.3,5,0,0,23,19,2,4,17,24,0,0,0,72,16,25,39.0
1514,Ainsley Maitland-Niles,ENG,"DF,MF",Lyon,fr  Ligue 1,27-194,1997.0,14.5,0,0,0,7,5,2,30,19,27,0,0,0,65,7,13,35.0
1515,Radosław Majecki,POL,GK,Monaco,fr  Ligue 1,25-115,1999.0,15.0,1,0,0,0,1,0,0,0,0,0,0,0,19,5,0,100.0
1516,Lovro Majer,CRO,MF,Wolfsburg,de  Bundesliga,27-053,1998.0,1.6,1,0,0,5,3,0,2,0,0,0,0,0,4,2,4,33.3
1517,Jordy Makengo,FRA,DF,Freiburg,de  Bundesliga,23-220,2001.0,2.3,1,0,0,0,1,0,7,3,6,0,0,0,10,0,3,0.0
1518,Antoine Makoumbou,CGO,MF,Cagliari,it  Serie A,26-236,1998.0,18.4,3,1,1,22,14,0,6,12,18,0,1,0,89,3,15,16.7
1519,Nikola Maksimović,SRB,DF,Montpellier,fr  Ligue 1,33-106,1991.0,6.5,2,0,0,3,5,0,0,6,5,0,0,0,14,8,13,38.1
1520,Tyrell Malacia,NED,DF,Manchester Utd,eng  Premier League,25-206,1999.0,1.1,1,0,0,3,2,0,1,1,1,0,0,0,3,0,0,
1521,Jarzinho Malanga,GER,DF,Stuttgart,de  Bundesliga,18-244,2006.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1522,Julián Malatini,ARG,DF,Werder Bremen,de  Bundesliga,23-284,2001.0,5.0,1,0,0,9,5,0,3,7,9,0,0,0,19,10,5,66.7
1523,Daniel Maldini,ITA,"MF,FW",Monza,it  Serie A,23-151,2001.0,14.5,5,0,0,15,39,2,38,4,6,0,0,0,52,22,27,44.9
1524,Daniel Maldini,ITA,"FW,MF",Atalanta,it  Serie A,23-151,2001.0,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
1525,Youssef Maleh,MAR,MF,Empoli,it  Serie A,26-201,1998.0,16.8,5,1,1,32,29,1,16,16,23,0,0,0,96,9,18,33.3
1526,Donyell Malen,NED,FW,Aston Villa,eng  Premier League,26-061,1999.0,1.9,0,0,0,0,2,2,3,0,2,0,0,0,4,1,3,25.0
1527,Donyell Malen,NED,"FW,MF",Dortmund,de  Bundesliga,26-061,1999.0,6.8,1,0,0,2,7,3,13,3,0,0,0,0,15,1,3,25.0
1528,Ruslan Malinovskyi,UKR,"MF,FW",Genoa,it  Serie A,31-311,1993.0,2.7,1,0,0,7,3,0,0,1,6,0,0,0,11,6,2,75.0
1529,Lennard Maloney,USA,MF,Heidenheim,de  Bundesliga,25-154,1999.0,8.4,1,0,0,11,4,1,1,14,11,0,0,0,40,16,12,57.1
1530,Lennard Maloney,USA,MF,Mainz 05,de  Bundesliga,25-154,1999.0,0.3,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,100.0
1531,Aaron Malouda,FRA,FW,Lille,fr  Ligue 1,19-101,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1532,Giorgi Mamardashvili,GEO,GK,Valencia,es  La Liga,24-163,2000.0,23.0,1,0,0,0,3,0,0,1,0,0,0,0,19,1,1,50.0
1533,Dennis Man,ROU,"FW,MF",Parma,it  Serie A,26-197,1998.0,19.5,0,0,0,7,17,4,30,8,5,0,0,0,62,9,17,34.6
1534,Hianga Mananga Mbock,FRA,MF,Brest,fr  Ligue 1,25-073,1999.0,0.2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,100.0
1535,Gianluca Mancini,ITA,DF,Roma,it  Serie A,28-328,1996.0,24.9,5,0,0,35,21,5,29,29,17,0,0,0,74,37,24,60.7
1536,Steve Mandanda,FRA,GK,Rennes,fr  Ligue 1,39-348,1985.0,16.5,0,0,0,0,1,0,0,0,0,0,0,0,26,1,0,100.0
1537,Christos Mandas,GRE,GK,Lazio,it  Serie A,23-175,2001.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0
1538,Reinildo Mandava,MOZ,DF,Atlético Madrid,es  La Liga,31-049,1994.0,9.3,3,0,0,17,14,1,7,16,11,0,1,0,46,8,14,36.4
1539,Aïssa Mandi,ALG,DF,Lille,fr  Ligue 1,33-140,1991.0,14.1,2,0,0,4,8,1,7,11,12,0,0,0,50,9,14,39.1
1540,Rolando Mandragora,ITA,MF,Fiorentina,it  Serie A,27-255,1997.0,11.8,5,0,0,14,14,0,15,11,5,0,0,0,26,12,9,57.1
1541,Orel Mangala,BEL,MF,Everton,eng  Premier League,26-358,1998.0,14.0,2,0,0,24,17,2,6,21,8,0,0,0,49,6,8,42.9
1542,Orel Mangala,BEL,MF,Lyon,fr  Ligue 1,26-358,1998.0,0.7,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,
1543,Ryan Manning,IRL,DF,Southampton,eng  Premier League,28-270,1996.0,9.8,2,0,0,12,20,0,42,13,16,0,0,0,40,8,4,66.7
1544,Javier Manquillo,ESP,DF,Celta Vigo,es  La Liga,30-310,1994.0,5.7,1,0,0,9,1,0,3,7,5,0,0,0,18,5,8,38.5
1545,Johan Manzambi,SUI,"MF,FW",Freiburg,de  Bundesliga,19-148,2005.0,0.4,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,100.0
1546,Alberto Manzoni,ITA,MF,Atalanta,it  Serie A,19-259,2005.0,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0
1547,Sekou Mara,FRA,"FW,MF",Strasbourg,fr  Ligue 1,22-224,2002.0,7.1,2,0,0,17,13,3,2,3,6,0,0,0,19,17,17,50.0
1548,Alessandro Marcandalli,ITA,DF,Genoa,it  Serie A,22-167,2002.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0
1549,Alessandro Marcandalli,ITA,DF,Venezia,it  Serie A,22-167,2002.0,1.3,0,0,0,3,0,0,0,1,2,0,1,0,10,7,4,63.6
1550,Marcão,BRA,DF,Sevilla,es  La Liga,28-279,1996.0,5.1,6,1,1,8,9,0,0,6,6,0,1,0,23,13,5,72.2
1551,Solly March,ENG,"MF,FW",Brighton,eng  Premier League,30-234,1994.0,0.5,1,0,0,0,1,1,3,1,3,0,0,0,2,0,1,0.0
1552,Filip Marchwiński,POL,MF,Lecce,it  Serie A,23-060,2002.0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
1553,Óscar de Marcos,ESP,DF,Athletic Club,es  La Liga,35-331,1989.0,13.7,0,0,0,11,5,0,44,13,13,0,0,0,71,6,12,33.3
1554,Alberto Marí,ESP,FW,Valencia,es  La Liga,23-243,2001.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
1555,Pablo Marí,ESP,DF,Monza,it  Serie A,31-192,1993.0,18.1,4,1,1,27,5,0,1,37,15,0,1,0,59,40,21,65.6
1556,Pablo Marí,ESP,DF,Fiorentina,it  Serie A,31-192,1993.0,2.2,0,0,0,1,1,0,0,2,1,0,0,0,9,8,4,66.7
1557,José María Giménez,URU,DF,Atlético Madrid,es  La Liga,30-050,1995.0,17.4,4,0,0,8,9,0,0,21,13,0,0,1,60,27,29,48.2
1558,Luca Marianucci,ITA,DF,Empoli,it  Serie A,20-231,2004.0,4.4,0,1,0,7,2,0,0,5,6,0,0,0,20,13,15,46.4
1559,Mirko Marić,CRO,"FW,MF",Monza,it  Serie A,29-299,1995.0,1.2,0,0,0,2,2,0,2,1,0,0,0,0,4,6,12,33.3
1560,Mirko Marić,CRO,FW,Venezia,it  Serie A,29-299,1995.0,3.1,0,0,0,2,4,3,2,1,2,0,0,0,10,8,16,33.3
1561,Arkaitz Mariezkurrena,ESP,"MF,FW",Real Sociedad,es  La Liga,19-340,2005.0,0.5,0,0,0,2,1,0,0,1,0,0,0,0,3,1,0,100.0
1562,Rafa Marín,ESP,DF,Napoli,it  Serie A,22-296,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1563,Pablo Marín,ESP,MF,Real Sociedad,es  La Liga,21-251,2003.0,5.2,1,0,0,10,9,0,6,2,7,0,0,0,27,8,13,38.1
1564,Răzvan Marin,ROU,MF,Cagliari,it  Serie A,28-292,1996.0,12.5,4,0,0,23,10,0,59,2,12,0,0,0,60,9,15,37.5
1565,Guillermo Maripán,CHI,DF,Torino,it  Serie A,30-309,1994.0,16.0,0,1,0,15,5,1,1,22,13,0,0,0,53,41,26,61.2
1566,Mika Màrmol,ESP,DF,Las Palmas,es  La Liga,22-252,2002.0,17.2,4,0,0,24,5,2,33,27,15,0,1,0,49,14,11,56.0
1567,Omar Marmoush,EGY,"MF,FW",Manchester City,eng  Premier League,26-032,1999.0,4.3,0,0,0,5,12,5,21,3,4,0,0,0,15,1,3,25.0
1568,Omar Marmoush,EGY,FW,Eint Frankfurt,de  Bundesliga,26-032,1999.0,16.1,2,0,0,8,55,7,78,2,8,1,0,0,51,7,14,33.3
1569,Mario Maroto,ESP,MF,Valladolid,es  La Liga,21-103,2003.0,0.2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,50.0
1570,Marquinhos,BRA,DF,Paris S-G,fr  Ligue 1,30-301,1994.0,15.6,3,0,0,15,4,1,2,9,14,0,1,0,86,28,16,63.6
1571,Unai Marrero,ESP,GK,Real Sociedad,es  La Liga,23-153,2001.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1572,Ange Martial Tia,MLI,MF,Reims,fr  Ligue 1,18-111,2006.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
1573,Aarón Martín,ESP,DF,Genoa,it  Serie A,27-323,1997.0,26.2,4,0,0,29,23,3,212,16,39,0,1,0,112,18,26,40.9
1574,Carlos Martín,ESP,"FW,MF",Alavés,es  La Liga,22-323,2002.0,11.0,2,0,0,21,26,4,19,5,16,0,0,0,44,9,15,37.5
1575,Gerard Martín,ESP,DF,Barcelona,es  La Liga,23-069,2002.0,5.8,2,0,0,8,2,0,13,7,6,0,0,0,18,7,3,70.0
1576,Iván Martín,ESP,MF,Girona,es  La Liga,26-025,1999.0,18.1,1,0,0,17,14,2,14,10,14,0,0,0,89,3,13,18.8
1577,Jon Martin,ESP,DF,Real Sociedad,es  La Liga,19-069,2006.0,3.3,1,0,0,7,0,0,0,5,1,0,0,0,8,14,5,73.7
1578,Jonas Martin,FRA,MF,Brest,fr  Ligue 1,34-336,1990.0,5.1,2,0,0,7,10,0,3,6,5,0,1,0,28,5,9,35.7
1579,Mario Martín,ESP,MF,Valladolid,es  La Liga,21-006,2004.0,15.1,7,2,1,38,33,1,8,18,23,0,1,0,64,26,24,52.0
1580,Gabriel Martinelli,BRA,"FW,MF",Arsenal,eng  Premier League,23-266,2001.0,16.6,1,0,0,13,14,7,60,2,13,0,0,0,57,12,21,36.4
1581,Arnau Martinez,ESP,"DF,MF",Girona,es  La Liga,21-320,2003.0,20.8,2,0,0,12,32,1,46,19,17,0,1,0,92,23,19,54.8
1582,Emiliano Martínez,ARG,GK,Aston Villa,eng  Premier League,32-190,1992.0,27.0,2,0,0,1,4,0,0,0,2,0,0,0,26,7,1,87.5
1583,Iñigo Martínez,ESP,DF,Barcelona,es  La Liga,33-298,1991.0,19.8,3,0,0,12,21,0,1,17,10,1,0,0,78,42,26,61.8
1584,Javi Martínez,ESP,MF,Osasuna,es  La Liga,25-079,1999.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1585,Josep Martinez,ESP,GK,Inter,it  Serie A,26-288,1998.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,100.0
1586,Lautaro Martínez,ARG,FW,Inter,it  Serie A,27-201,1997.0,24.1,0,0,0,31,39,18,9,9,15,0,0,0,63,30,34,46.9
1587,Lisandro Martínez,ARG,DF,Manchester Utd,eng  Premier League,27-052,1998.0,19.5,7,0,0,22,7,0,9,32,24,0,0,0,81,16,13,55.2
1588,Lucas Martínez Quarta,ARG,DF,Fiorentina,it  Serie A,28-305,1996.0,3.9,1,0,0,8,2,0,0,3,7,0,0,0,13,12,10,54.5
1589,Ramón Martínez,ESP,DF,Sevilla,es  La Liga,22-140,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
1590,Toni Martínez,ESP,FW,Alavés,es  La Liga,27-254,1997.0,8.6,0,0,0,12,8,5,6,0,5,0,1,0,22,61,49,55.5
1591,Kevin Martins,ITA,"MF,DF",Monza,it  Serie A,20-039,2005.0,2.0,1,0,0,3,4,0,6,1,4,0,0,0,12,2,1,66.7
1592,Javi Martón,ESP,"FW,MF",Athletic Club,es  La Liga,25-309,1999.0,0.6,1,0,0,1,0,1,0,0,0,0,0,0,2,2,1,66.7
1593,Adam Marušić,MNE,DF,Lazio,it  Serie A,32-145,1992.0,18.3,1,0,0,9,11,1,36,11,16,0,0,1,57,23,15,60.5
1594,Marvin,ESP,"DF,FW",Las Palmas,es  La Liga,24-251,2000.0,6.3,3,0,0,11,11,0,27,5,7,0,1,0,34,6,7,46.2
1595,Omar Mascarell,EQG,MF,Mallorca,es  La Liga,32-037,1993.0,16.5,4,1,0,21,12,0,2,35,12,0,0,0,59,34,17,66.7
1596,Adam Masina,MAR,DF,Torino,it  Serie A,31-068,1994.0,16.1,5,0,0,18,15,1,13,18,14,1,0,0,63,50,16,75.8
1597,Patrizio Masini,ITA,MF,Genoa,it  Serie A,24-043,2001.0,7.6,2,0,0,21,28,0,15,8,16,0,0,0,43,14,10,58.3
1598,Giorgos Masouras,GRE,"FW,MF",Bochum,de  Bundesliga,31-069,1994.0,4.6,0,0,0,4,6,3,10,1,6,0,0,0,16,13,18,41.9
1599,Erhan Mašović,SRB,DF,Bochum,de  Bundesliga,26-109,1998.0,9.5,1,0,0,10,4,0,0,12,10,0,0,0,32,19,13,59.4
1600,Han-Noah Massengo,FRA,MF,Auxerre,fr  Ligue 1,23-247,2001.0,5.2,1,0,0,9,10,0,2,9,7,0,0,0,28,3,6,33.3
1601,Clinton Mata,ANG,DF,Lyon,fr  Ligue 1,32-124,1992.0,21.1,4,0,0,20,30,1,34,36,24,0,0,0,106,19,12,61.3
1602,Jaime Mata,ESP,FW,Las Palmas,es  La Liga,36-138,1988.0,5.2,6,0,0,14,10,10,9,3,1,0,0,0,15,15,23,39.5
1603,Igor Matanovic,CRO,FW,Eint Frankfurt,de  Bundesliga,21-345,2003.0,3.4,0,0,0,6,10,1,0,1,0,0,0,0,8,10,15,40.0
1604,Pape Matar Sarr,SEN,MF,Tottenham,eng  Premier League,22-178,2002.0,15.5,5,0,0,24,27,2,9,22,28,0,1,0,100,22,31,41.5
1605,Eliot Matazo,BEL,MF,Monaco,fr  Ligue 1,23-024,2002.0,0.8,0,0,0,0,2,0,0,1,2,0,0,0,7,1,0,100.0
1606,Jean-Philippe Mateta,FRA,FW,Crystal Palace,eng  Premier League,27-256,1997.0,23.7,2,0,0,23,22,14,22,2,10,0,0,0,56,52,88,37.1
1607,Nemanja Matić,SRB,MF,Lyon,fr  Ligue 1,36-222,1988.0,17.5,0,0,0,11,6,0,8,12,26,0,0,0,95,13,10,56.5
1608,Chrislain Matsima,FRA,DF,Augsburg,de  Bundesliga,22-300,2002.0,19.3,4,0,0,8,9,0,2,39,11,0,0,0,108,53,19,73.6
1609,Jean Mattéo Bahoya,FRA,"MF,FW",Eint Frankfurt,de  Bundesliga,19-308,2005.0,4.4,2,0,0,7,3,1,15,4,10,0,0,0,20,6,2,75.0
1610,Alan Matturro,URU,DF,Genoa,it  Serie A,20-151,2004.0,8.5,2,0,0,8,5,2,6,12,5,0,0,0,24,13,15,46.4
1611,Azor Matusiwa,NED,MF,Rennes,fr  Ligue 1,26-317,1998.0,16.7,2,0,0,24,22,0,1,28,31,0,1,0,103,20,13,60.6
1612,Neal Maupay,FRA,FW,Marseille,fr  Ligue 1,28-209,1996.0,10.2,3,1,1,8,16,1,1,2,3,0,0,0,19,4,12,25.0
1613,Maurides,BRA,FW,St. Pauli,de  Bundesliga,31-001,1994.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1614,Stephy Mavididi,ENG,FW,Leicester City,eng  Premier League,26-284,1998.0,15.4,2,0,0,16,14,2,60,10,15,0,0,0,73,9,14,39.1
1615,Konstantinos Mavropanos,GRE,DF,West Ham,eng  Premier League,27-090,1997.0,17.5,4,1,1,14,11,2,2,33,21,0,0,0,56,49,18,73.1
1616,Christian Mawissa,FRA,DF,Monaco,fr  Ligue 1,19-327,2005.0,11.5,2,0,0,12,6,0,3,23,24,0,1,0,44,22,12,64.7
1617,Keke Maximilian Topp,GER,"FW,MF",Werder Bremen,de  Bundesliga,20-351,2004.0,2.4,1,0,0,6,5,2,5,1,1,0,0,0,11,7,14,33.3
