,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1699,Jakub Moder,POL,MF,Brighton,eng  Premier League,25-338,1999.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
1700,Rui Modesto,ANG,DF,Udinese,it  Serie A,25-155,1999.0,2.9,1,0,0,5,3,1,10,5,5,0,0,0,14,6,5,54.5
1701,Luka Modrić,CRO,MF,Real Madrid,es  La Liga,39-183,1985.0,13.8,7,0,0,15,15,1,71,19,11,0,0,0,79,4,10,28.6
1702,Max Moerstedt,GER,FW,Hoffenheim,de  Bundesliga,,,5.0,2,0,0,6,10,1,1,0,5,0,0,0,11,16,22,42.1
1703,Mostafa Mohamed,EGY,FW,Nantes,fr  Ligue 1,27-103,1997.0,9.8,2,0,0,26,19,3,4,8,8,1,0,0,36,34,32,51.5
1704,Johan Mojica,COL,DF,Mallorca,es  La Liga,32-202,1992.0,22.5,5,0,0,13,16,0,103,24,17,0,2,0,132,8,12,40.0
1705,David Mokwa,FRA,"DF,FW",Hoffenheim,de  Bundesliga,20-312,2004.0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,50.0
1706,Alberto Moleiro,ESP,"FW,MF",Las Palmas,es  La Liga,21-162,2003.0,21.1,5,0,0,23,25,1,16,12,10,0,0,0,94,5,16,23.8
1707,Nahuel Molina,ARG,DF,Atlético Madrid,es  La Liga,26-339,1998.0,14.3,0,0,0,9,5,0,44,10,16,0,0,0,49,9,9,50.0
1708,Florent Mollet,FRA,"MF,FW",Nantes,fr  Ligue 1,33-112,1991.0,2.7,1,0,0,2,3,1,13,1,2,0,0,0,13,1,4,20.0
1709,Jon Moncayola,ESP,MF,Osasuna,es  La Liga,26-302,1998.0,18.3,7,0,0,29,6,0,81,11,28,0,0,0,70,12,10,54.5
1710,Gonzalo Montiel,ARG,"DF,MF",Sevilla,es  La Liga,28-069,1997.0,1.3,1,0,0,3,1,0,3,2,2,0,0,0,4,1,0,100.0
1711,Lorenzo Montipò,ITA,GK,Hellas Verona,it  Serie A,29-019,1996.0,27.0,0,0,0,0,7,0,0,0,0,0,0,1,20,6,1,85.7
1712,Mikey Moore,ENG,"FW,MF",Tottenham,eng  Premier League,17-212,2007.0,2.1,0,0,0,3,4,2,12,1,0,0,0,0,5,1,4,20.0
1713,Álvaro Morata,ESP,"FW,MF",Milan,it  Serie A,32-139,1992.0,12.2,5,0,0,25,18,11,13,5,10,0,0,0,31,14,20,41.2
1714,Morato,BRA,DF,Nott'ham Forest,eng  Premier League,23-254,2001.0,6.7,1,0,0,7,2,0,0,8,12,0,0,0,27,4,10,28.6
1715,Diego Moreira,POR,"DF,MF",Strasbourg,fr  Ligue 1,20-217,2004.0,21.4,4,0,0,22,29,1,72,25,18,0,1,0,109,25,28,47.2
1716,Alberto Moreno,ESP,DF,Como,it  Serie A,32-249,1992.0,15.1,4,0,0,14,10,1,39,12,10,0,0,0,58,8,17,32.0
1717,Álex Moreno,ESP,DF,Nott'ham Forest,eng  Premier League,31-276,1993.0,9.0,2,0,0,11,5,0,15,14,18,0,0,0,40,1,8,11.1
1718,Gerard Moreno,ESP,FW,Villarreal,es  La Liga,32-338,1992.0,6.7,0,0,0,9,9,1,9,2,4,1,0,0,19,15,4,78.9
1719,Matias Moreno,ARG,DF,Fiorentina,it  Serie A,21-168,2003.0,1.6,0,0,0,4,0,0,2,1,8,0,1,0,5,3,4,42.9
1720,Tete Morente,ESP,FW,Lecce,it  Serie A,28-097,1996.0,17.1,2,0,0,20,15,0,42,12,12,0,0,0,72,20,18,52.6
1721,Mateu Morey,ESP,DF,Mallorca,es  La Liga,25-009,2000.0,4.2,1,0,0,9,5,0,14,9,8,0,0,0,18,4,3,57.1
1722,Ilaix Moriba,GUI,MF,Celta Vigo,es  La Liga,22-051,2003.0,15.3,7,1,1,19,41,1,5,8,26,0,0,0,71,16,19,45.7
1723,Manu Morlanes,ESP,MF,Mallorca,es  La Liga,26-058,1999.0,11.9,5,0,0,12,10,0,7,23,21,0,0,0,64,8,14,36.4
1724,Nikola Moro,CRO,MF,Bologna,it  Serie A,26-364,1998.0,12.3,1,0,0,20,9,0,32,13,26,0,0,0,70,12,15,44.4
1725,Raúl Moro,ESP,"FW,MF",Valladolid,es  La Liga,22-096,2002.0,17.0,1,0,0,3,13,7,100,9,9,0,0,0,58,6,10,37.5
1726,Sam Morsy,EGY,MF,Ipswich Town,eng  Premier League,33-182,1991.0,22.0,8,0,0,38,18,0,9,22,29,0,1,1,115,11,21,34.4
1727,Gabriel Moscardo,BRA,MF,Reims,fr  Ligue 1,19-164,2005.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
1728,Cristhian Mosquera,ESP,DF,Valencia,es  La Liga,20-257,2004.0,25.9,5,0,0,12,18,0,1,30,26,0,3,0,145,26,35,42.6
1729,Daniel Mosquera,COL,FW,Hellas Verona,it  Serie A,25-142,1999.0,9.5,2,0,0,29,10,5,2,1,5,0,0,0,28,49,53,48.0
1730,Yerson Mosquera,COL,DF,Wolves,eng  Premier League,23-313,2001.0,4.9,2,0,0,6,7,1,2,10,7,0,0,0,24,11,6,64.7
