,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
364,Conor Bradley,NIR,DF,Liverpool,eng  Premier League,21-245,2003.0,4.1,9,2.18,6,0,2,0,1,0,1,0.24,1,0,0,0,0,0
365,Bilal Brahimi,ALG,MF,Nice,fr  Ligue 1,24-362,2000.0,0.8,1,1.18,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
366,Julian Brandt,GER,MF,Dortmund,de  Bundesliga,28-313,1996.0,18.1,72,3.97,59,6,2,5,0,0,6,0.33,5,1,0,0,0,0
367,Jarrad Branthwaite,ENG,DF,Everton,eng  Premier League,22-257,2002.0,19.1,12,0.63,10,1,0,0,1,0,2,0.1,1,1,0,0,0,0
368,Darko Brašanac,SRB,MF,Leganés,es  La Liga,33-027,1992.0,14.5,23,1.59,19,0,0,2,2,0,2,0.14,2,0,0,0,0,0
369,Lilian Brassier,FRA,DF,Marseille,fr  Ligue 1,25-129,1999.0,8.7,3,0.35,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
370,Lilian Brassier,FRA,DF,Rennes,fr  Ligue 1,25-129,1999.0,5.7,10,1.75,8,1,0,1,0,0,0,0.0,0,0,0,0,0,0
371,Matthias Braunöder,AUT,MF,Como,it  Serie A,22-349,2002.0,3.0,4,1.34,2,0,0,1,1,0,0,0.0,0,0,0,0,0,0
372,Iker Bravo,ESP,"FW,MF",Udinese,it  Serie A,20-057,2005.0,4.2,11,2.59,8,2,0,1,0,0,0,0.0,0,0,0,0,0,0
373,James Bree,ENG,DF,Southampton,eng  Premier League,27-151,1997.0,9.9,15,1.52,12,2,0,1,0,0,1,0.1,1,0,0,0,0,0
374,Tim Breithaupt,GER,MF,Augsburg,de  Bundesliga,23-032,2002.0,1.3,3,2.25,3,0,0,0,0,0,2,1.5,2,0,0,0,0,0
375,Gleison Bremer,BRA,DF,Juventus,it  Serie A,27-358,1997.0,6.0,3,0.5,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
376,Brenner,BRA,"MF,FW",Udinese,it  Serie A,25-054,2000.0,4.3,11,2.56,8,3,0,0,0,0,1,0.23,1,0,0,0,0,0
377,Ben Brereton,CHI,FW,Southampton,eng  Premier League,25-327,1999.0,5.0,9,1.8,7,0,0,0,2,0,0,0.0,0,0,0,0,0,0
378,Marco Brescianini,ITA,MF,Atalanta,it  Serie A,25-050,2000.0,8.8,19,2.16,16,0,2,1,0,0,4,0.46,3,0,0,1,0,0
379,Maximilian Breunig,GER,"FW,MF",Heidenheim,de  Bundesliga,24-209,2000.0,3.9,8,2.06,5,1,1,1,0,0,0,0.0,0,0,0,0,0,0
380,Anthony Briançon,FRA,DF,Saint-Étienne,fr  Ligue 1,30-103,1994.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
381,Nathan Broadhead,WAL,"FW,MF",Ipswich Town,eng  Premier League,26-340,1998.0,4.9,13,2.64,11,0,2,0,0,0,1,0.2,1,0,0,0,0,0
382,Armando Broja,ALB,FW,Everton,eng  Premier League,23-182,2001.0,1.8,4,2.26,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
383,David Brooks,WAL,FW,Bournemouth,eng  Premier League,27-246,1997.0,8.0,27,3.36,22,2,2,1,0,0,1,0.12,0,0,0,1,0,0
384,Arvid Brorsson,SWE,DF,Monza,it  Serie A,25-307,1999.0,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
385,Moritz Broschinski,GER,"FW,MF",Bochum,de  Bundesliga,24-169,2000.0,13.8,31,2.26,22,0,3,4,2,0,4,0.29,2,0,1,1,0,0
386,Nathaniel Brown,GER,"DF,MF",Eint Frankfurt,de  Bundesliga,21-268,2003.0,13.4,37,2.77,24,10,0,1,2,0,7,0.52,5,2,0,0,0,0
387,Jacob Bruun Larsen,DEN,"FW,MF",Hoffenheim,de  Bundesliga,26-173,1998.0,4.4,19,4.29,12,1,2,4,0,0,4,0.9,2,0,1,1,0,0
388,Jacob Bruun Larsen,DEN,MF,Stuttgart,de  Bundesliga,26-173,1998.0,3.8,11,2.87,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0
