,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
157,Marco Asensio,ESP,"FW,MF",Paris S-G,fr  Ligue 1,29-049,1996.0,6.9,335,314,19,2,4,1,13,3,6,2,0,0,291,2,7
158,Kristjan Asllani,ALB,MF,Inter,it  Serie A,23-002,2002.0,6.7,626,585,39,16,5,2,28,1,21,3,13,0,558,2,3
159,Iago Aspas,ESP,"FW,MF",Celta Vigo,es  La Liga,37-222,1987.0,14.7,656,639,10,1,15,5,7,6,2,0,1,0,485,7,23
160,Yaser Asprilla,COL,"FW,MF",Girona,es  La Liga,21-112,2003.0,9.7,451,410,37,11,4,6,51,8,16,12,2,0,335,4,15
161,Lorenz Assignon,TOG,"DF,MF",Rennes,fr  Ligue 1,24-262,2000.0,18.2,926,742,178,12,3,3,52,165,1,0,0,0,718,6,28
162,Dehmaine Assoumani,FRA,"MF,FW",Nantes,fr  Ligue 1,19-328,2005.0,0.9,45,42,3,1,0,0,4,1,0,0,0,0,36,0,2
163,Valentin Atangana Edoa,FRA,MF,Reims,fr  Ligue 1,19-198,2005.0,22.7,813,803,7,7,2,0,15,0,0,0,0,0,708,3,13
164,Arthur Atta,FRA,"MF,FW",Udinese,it  Serie A,22-056,2003.0,5.7,271,266,3,2,0,3,11,1,0,0,0,0,212,2,8
165,Noah Atubolu,GER,GK,Freiburg,de  Bundesliga,22-290,2002.0,22.0,1011,858,151,48,0,1,0,0,0,0,0,0,759,2,1
166,Emil Audero,ITA,GK,Como,it  Serie A,28-052,1997.0,8.0,253,217,36,15,0,0,0,0,0,0,0,0,209,0,0
167,Tommaso Augello,ITA,"DF,FW",Cagliari,it  Serie A,30-193,1994.0,21.2,1159,895,256,38,0,4,160,172,46,4,41,0,824,8,38
168,Carlos Augusto,BRA,"DF,FW",Inter,it  Serie A,26-063,1999.0,10.5,589,520,69,11,1,0,17,57,0,0,0,0,505,0,10
169,Yann Aurel Bisseck,GER,DF,Inter,it  Serie A,24-102,2000.0,11.9,817,794,23,14,0,1,6,8,0,0,0,0,751,0,8
170,Brandon Austin,ENG,GK,Tottenham,eng  Premier League,26-062,1999.0,1.0,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0
